X,title,abstract,authors,Included,doi,ID
30,,"Previously, we reported sipholenol A, a sipholane triterpenoid from the Red Sea sponge Callyspongia siphonella, as a potent reversal agent of multidrug resistance (MDR) in cancer cells that overexpressed P-glycoprotein (P-gp). Through extensive screening of several related sipholane triterpenoids that have been isolated from the same sponges, we identified sipholenone E, sipholenol L and siphonellinol D as potent reversal agents of MDR in cancer cells. These compounds, at a nontoxic concentration of 10 μM, enhanced the cytotoxicity of several P-gp substrate anticancer drugs, including colchicine, vinblastine and paclitaxel in P-gp-overexpressing MDR cancer cells KB-C2 and KB-V1 in a dose-dependent manner. Moreover, these three sipholanes had no effect on the response to cytotoxic agents in cells lacking P-gp expression or expressing MRP1 (ABCC1) or MRP7 (ABCC7) or breast cancer resistance protein (BCRP/ABCG2). [³H]-Paclitaxel accumulation and efflux studies demonstrated that all three triterpenoids time-dependently increased the intracellular accumulation of [³H]-paclitaxel by directly inhibiting P-gp-mediated drug efflux. Sipholanes also inhibited calcein-AM transport from P-gp-overexpressing cells. The Western blot analysis revealed that these three triterpenoids did not alter the expression of P-gp. However, they stimulated P-gp ATPase activity in a concentration-dependent manner and inhibited the photolabeling of this transporter with its transport substrate [125I]-iodoarylazidoprazosin. In silico molecular docking aided the virtual identification of ligand binding sites of these compounds. In conclusion, sipholane triterpenoids efficiently inhibit the function of P-gp through direct interactions and may represent potential reversal agents for the treatment of MDR.","Abraham, Ioana",0,,11
31,Virtualisation of an administrative work environment in higher education Managing information in a developing country university,"Purpose - The purpose of this paper is to understand how higher education institutions (HEIs) in developing countries can migrate their physical administrative work environment to a virtual platform to improve information management. Design/methodology/approach - The paper employs an interpretive case study approach and a combined lens of activity and agency theories to understand how a developing country HEI attempted to improve its information management by migrating from a physical to a virtual administrative work environment. Findings - The findings show how contradictions caused by role conflicts, administrative staff's fear of elimination and external consultants' limited understanding of administrative rules and procedures can hamper work environment virtualisation. Such challenges should be resolved in order to achieve a successful virtual work environment that supports timely and accurate information management. Research limitations/implications - The study is limited by its single case perspective in one developing country. However, future studies can compare the experiences of HEIs from developed and developing countries in order to account for contextual differences. Practical implications - The study provides practitioners with insight into how to address conflicts between employees (as potential users) and external consultants during virtual system development and implementation. In particular, role conflict, fear of eliminating some administrative staff and consultants' limited understanding of administrative work procedures should be resolved for successful work environment virtualisation. Originality/value - The study is the first attempt to offer rich insight into the challenges associated with administrative work environment virtualisation for improved information management in HEIs, through the principal-agent relationship.","Adam, I. O.",0,10.1108/jeim-06-2016-0119,12
34,Evaluation of French motorway network in relation to slime mould transport networks,"France has developed a high quality motorway system that has been rapidly rationalised and matured in the late 20th century yet has been founded on ancient, Roman infrastructures. The development of the motorway system is thus an iterative method associated with hierarchical 'top-down' processes taking into consideration factors such as population density, network demand, location of natural resources, civil engineering challenges and population growth. At the opposite extreme to this approach is the development of transport networks within simple biological systems which are typically decentralised, dynamic and emerge from simple, local and 'bottom-up' interactions. We examine the notion, and to what extent, that the structure of a complex motorway network could be predicted by the transport network of the single-celled slime mould Physarum polycephalum. This comparison is explored through its ability to 'deduce' the French motorway network in a series of analogue and digital experiments. We compare Physarum network and motorway network topology in relation to proximity graphs and assess the trade-off between connectivity and minimal network length with a bottom-up model of a virtual plasmodium. We demonstrate that despite the apparent complexity of the challenge, Physarum can successfully apply its embodied intelligence to rationalise the motorway topology. We also demonstrate that such calculations prove challenging in the face of significant obstacles such as, mountainous terrain and may account for the missing route between Nice, Grenoble, Avignon and Lyon. Finally, we discuss the topological findings with respect to circle and spoke city planning infrastructures and certain species of web-building spiders.","Adamatzky, A.",0,10.1177/0265813515626924,13
38,"""Pedagogical tweeting"" in higher education: boon or bane?","Social media have become widely adopted by the current generation of students. Yet, not every social media tool is as popular as others; for instance in 2016, 74.4% of Flemings ever had an account on Facebook, only 34.1% were once active on the microblogging platform Twitter. However, Twitter might have advantages over Facebook as a didactic agent in higher education. To date, research results on the added value of Twitter as a learning and teaching tool are still ambiguous. Therefore, this paper describes two interventions, which are evaluated using a mixed methods approach, to determine higher education students' expectations and experiences about using Twitter for educational purposes. Results indicate that although students had moderate to high initial expectations about using Twitter in higher education, they were rather skeptical about this tool after using it. The most critical obstacles formulated by students were competence frustration, (information) overload, and extrinsic motivation; that were taken into account by designing the second, follow-up intervention. The results of both interventions are presented and discussed. This study also highlights practical implications regarding the educational use of Twitter as well as suggestions for further research.","Adams, B.",0,10.1186/s41239-018-0102-5,14
42,"Dehumanizing but competent: The impact of gender, illness type, and emotional expressiveness on patient perceptions of doctors","This study is the first attempt to investigate men's and women's anticipated reactions to a consultation with a doctor holding either a dehumanizing or humanistic approach to patient treatment. Participants (N=375) read a vignette depicting a doctor's treatment philosophyemphasizing either the metaphor of the body as a machine (dehumanizing condition) or emphasizing individual humanness (humanizing condition). They then imagined consulting the doctor about a psychological or physical illness. Although, medical dehumanization had undesirable consequences, some men rated the dehumanizing doctor as more competent than the humanizing doctor. These were men who were (a) emotionally expressive and seeking help for a psychological illness, and (b) men low in emotional expressiveness seeking help for a physical illness.","Adams, S. M.",0,10.1111/jasp.12433,15
46,,"This paper investigates the use of conversational agents to scaffold on-line collaborative learning discussions through an approach called Academically Productive Talk (APT). In contrast to past work on dynamic support for collaborative learning, where agents were used to elevate conceptual depth by leading students through directed lines of reasoning (Kumar & Rosé","Adamson, David",0,http://dx.doi.org/10.1007/s40593-013-0012-6,16
50,,"<SPAN style=""LINE-HEIGHT: 115%; FONT-FAMILY: 'Times New Roman','serif'; FONT-SIZE: 12pt"">E-learning systems have signiﬁcantly impacted the way that learning takes place within universities, particularly in providing self-learning support and ﬂexibility of course delivery. Virtual Learning Environments help facilitate the management of educational courses for students, in particular by assisting course designers and thriving in the management of the learning itself. Current literature has shown that pedagogical modelling and learning process management facilitation are inadequate. In particular, quantitative information on the process of learning that is needed to perform real time or reﬂective monitoring and statistical analysis of students’ learning processes performance is deﬁcient. Therefore, for a course designer, pedagogical evaluation and reform decisions can be di<SPAN style=""LINE-HEIGHT: 115%; FONT-FAMILY: 'Cambria Math','serif'; FONT-SIZE: 12pt; mso-bidi-font-family: 'Cambria Math'"">ﬃ<SPAN style=""LINE-HEIGHT: 115%; FONT-FAMILY: 'Times New Roman','serif'; FONT-SIZE: 12pt"">cult.<?xml:namespace prefix = o ns = ""urn:schemas-microsoft-com:office:office"" /><SPAN style=""LINE-HEIGHT: 115%; FONT-FAMILY: 'Times New Roman','serif'; FONT-SIZE: 12pt; mso-fareast-font-family: Calibri; mso-fareast-theme-font: minor-latin; mso-fareast-language: EN-US; mso-ansi-language: EN-GB; mso-bidi-language: AR-SA"">This thesis presents an alternative e-learning systems architecture - Virtual Learning Process Environment (VLPE) - that uses the Business Process Management (BPM) conceptual framework to design an architecture that addresses the critical quantitative learning process information gaps associated with the conventional VLE frameworks. Within VLPE, course designers can model desired education pedagogies in the form of learning process workﬂows using an intuitive graphical ﬂow diagram user-interface. Automated agents associated with BPM frameworks are employed to capture quantitative learning information from the learning process workﬂow. Consequently, course designers are able to monitor, analyse and re-evaluate in real time the e<SPAN style=""LINE-HEIGHT: 115%; FONT-FAMILY: 'Cambria Math','serif'; FONT-SIZE: 12pt; mso-fareast-font-family: Calibri; mso-fareast-theme-font: minor-latin; mso-bidi-font-family: 'Cambria Math'; mso-fareast-language: EN-US; mso-ansi-language: EN-GB; mso-bidi-language: AR-SA"">ﬀ<SPAN style=""LINE-HEIGHT: 115%; FONT-FAMILY: 'Times New Roman','serif'; FONT-SIZE: 12pt; mso-fareast-font-family: Calibri; mso-fareast-theme-font: minor-latin; mso-fareast-language: EN-US; mso-ansi-language: EN-GB; mso-bidi-language: AR-SA"">ectiveness of their chosen pedagogy using live interactive learning process dashboards. Once a course delivery is complete the collated quantitative information can also be used to make major revisions to pedagogy design for the next iteration of the course. An additional contribution of this work is that this new architecture facilitates individual students in monitoring and analysing their own learning performances in comparison to their peers in a real time anonymous manner through a personal analytics learning process dashboard. A case scenario of the quantitative statistical analysis of a cohort of learners (10 participants in size) is presented. The analytical results of their learning processes, performances and progressions on a short Mathematics course over a ﬁve-week period are also presented in order to demonstrate that the proposed framework can signiﬁcantly help to advance learning analytics and the visualisation of real time learning data.","Adesina, Ayodeji",0,,17
51,Teachers in school-based technology innovations: A typology of their beliefs on teaching and technology,"In many innovations in technology and education in secondary schools, teachers are the crucial agents of these innovations. To select, match and support groups of teachers for particular school projects, school principals could be supported with insights into teachers' beliefs about teaching, learning and technology. A teacher typology has been developed based on an online questionnaire completed by 1602 teachers from 59 Dutch secondary schools. Teachers are grouped on the basis of their beliefs about learned-centered teaching and attitudes towards technology, which underlie the school innovations that form the context of the current research. Five teacher types are distinguished: 1) Learner-centered teachers with technology, 2) Teachers critical of technology use in school, 3) Teachers uncomfortable with technology, 4) Teachers uneasy with learned-centered teaching and 5) Teachers critical of a clear-cut stance. This classification of teachers into these five types could be used to select or match the right group of teachers to a particular intervention or to organize different professional development activities for different types of school teachers. (C) 2017 Elsevier Ltd. All rights reserved.","Admiraal, W.",0,10.1016/j.compedu.2017.06.013,18
63,,"This study built on the rhetoric of scholars who assert a difference in approaches to learning with technology exists among generational groups resulting in its diminished use. The research explored the perceptions of foreign language course coordinators, teachers and students in the writing program of an institution of higher education in Lebanon regarding technology and multimedia use, the importance and the place of technology and multimedia in teaching writing. An assessment of faculty and students’ perceptions was needed to determine the necessity and possibility of revamping the broad objectives of composition and rhetoric courses. To respond to the new realities of teaching characterized by the ubiquity of technology and multimedia in the educational scene of the 21st century, it was important to measure the stakeholders’ – students, teachers and course coordinators – perceptions regarding the usefulness of technology and multimedia in writing and determine the feasibility of complementing traditional writing practices with multimodal ones. The study examined the technological dispositions of the various social agents within the same field of practice by looking into quantitative and qualitative results of perceptual data, while shedding light on practices in composition classrooms. The findings revealed while the majority of respondents perceived the use of technology and multimedia as added value which could enhance the learning process, some had mixed feelings about their perceived usefulness and ease of use, thus successful integration in the writing curriculum. Recommendations for research which would experiment with complementing the actual practices of teaching and performing written assignments with technology and multimedia elements were made in the concluding remarks.","Adra, Omar M.",0,,19
64,,"Recognition of spontaneous emotion would influence human-computer interaction and emotion-related studies in many related fields. In any given environment, the spontaneous generation of expression are more often observed than their prototypic counterparts.This thesis explores methods for detecting emotional facial expressions occurring in a tutor-tutee setting -- the expressions made by the tutee to non verbally communicate understanding. Given the importance of non-verbal communication in human dialog, the information gathered will in turn be used to inform the agent on user understanding of material and be able to provide a more realistic relationship between a tutor and the tutee.Considering that in-class teaching time is very limited, it can be very challenging for an educator to instruct the student, while keeping the student’s interest in the course high throughout the semester. This requires innovation in teaching, especially when the class is large. The affect sensitive animated tutoring system is designed to simulate the process of one-to-one tutoring of small class teaching and helping educators to further supplement the contents to suit the needs of the students. The intelligence of the embodied agent system comes from information related to the student knowledge, the specific domain knowledge, and the teaching strategies, but also the affective state of the student and the role it plays in helping the student progress through the curriculum. In this research, we put forth an affect sensitive emotionally capable animated tutoring system for introduction to programing courses, providing the student the opportunity to learn about certain aspects of the course. Key instruction modules based on core concepts in programing will be created in which the student is presented with a lecture specified by the instructor, as well topics to be covered in that lecture. Based on the subtopic selected by the student, only information pertinent to that subtopic is displayed. As the session proceeds the system will monitor the student for affective feedback via any spontaneous facial expression generation. Once a negative affect is detected the embodied agent will then assess the student to determine the root of the affect ad devise a strategy to help the student progress from the negative affect to a positive one. Also, following each lecture, quizzes will be made available to test the students’ comprehension and retention of the lecture. The quiz modules test students on information covered in each lecture module.Three issues were evaluated in the analyses: the comprehension level of the user after interacting with the system, the user’s perception of their learning experiences as a result of the embedded animated agent and the affective visualization of the different learning states. Preliminary results show that the condition in which the agent is fully expressive shows a marked increase in the level of comprehension because as we speculated the user is more invested in the software when the agent fully articulates emotion through head movement and facial expression. In addition, the condition in which the agent is partially animated illustrates that the comprehension level is the average of both the fully animated and non-animated agent.","Agada, Ruth O.",0,,20
65,A group-based approach for gaze behavior of virtual crowds incorporating personalities,"Predicting interest points of virtual characters and accurately simulating their gaze behavior play a significant role for realistic crowd simulations. We propose a saliency model that enables virtual agents to produce plausible gaze behavior. The model measures the effects of distinct saliency features implemented by examining the state-of-the-art perception studies. When predicting an agent's interest point, we compute the saliency scores by using a weighted sum function for other agents and environment objects in the field of view of the agent for each frame. Then, we determine the most salient entity for each agent in the scene; thus, agents gain a visual understanding of their environment. Besides, our model introduces new aspects to crowd perception, such as perceiving characters as groups of people and applying social norms on crowd gaze behavior, effects of agent personality on gaze, gaze copy phenomena, and effects of agent velocity on attention. For evaluation, we compare the resulting saliency gaze model with real-world crowd behavior in captured videos. In the experiments, we simulate the gaze behavior in real crowds. The results show that the proposed approach generates plausible gaze behaviors and is easily adaptable to varying scenarios for virtual crowds.","Agil, U.",0,10.1002/cav.1806,21
67,,"What does it mean to teach virtue, or to learn it? We consider this question through an institutional review board (IRB) supported research study attending to student learning experiences in undergraduate ethics courses at a Catholic university with an explicit commitment to social justice. This essay draws on and interprets qualitative data concerning the outcomes of select pedagogical approaches that involve exposing students to the experiences of others: the use of narratives; participation in structured experiential learning activities; and community engagement through deep listening and facilitated dialogue. We focus our interpretation around the implications of these pedagogies in relation to student understanding of and attitudes regarding three character traits identified as ""other-regarding"" virtues in theological and philosophical scholarship--altruism, compassion, and solidarity. This paper considers the implications of these pedagogies and the practical effects of different sorts of teaching strategies on students' self-understanding as moral agents.","Agnew Cochran, Elizabeth",0,http://dx.doi.org/10.1111/teth.12392,22
69,,"For children, high quality friendships are associated with adaptive social, emotional and academic functioning. There is also evidence that children experience real and imaginary friendships in similar ways, and that imagined relationships could have an impact on development. However, less is known about the relationships made possible by virtual agents in digital media. This dissertation research was designed to provide preliminary data about children’s concepts of virtual agents, and the social opportunities they attribute to such entities. In Studies 1 and 2 (combined N = 48), preschool aged children differentiated the social affordances of a stuffed dog and a virtual dog. Participants played a game in which they guessed whether a child in a video was referring to a stuffed dog or a virtual dog in a series of statements. Items designed to assess high quality friendships, such as comfort, protection and love, were attributed more to the stuffed dog than the virtual dog. Studies 3 and 4 examined adult and child concepts of a virtual child, and how concepts of this entity might differ from a real child, a child on a video chat program (e.g., Skype™) and an inanimate doll. Adults and children attributed a range of properties to each child agent, including biological, psychological and social properties, as well as opportunities for relationships. In Study 3 (N = 144), adults did not differentiate between the virtual child and the doll on the social property; however, they favored the doll on opportunities for unilateral relationships. In Study 4 (N = 30), five to eight-year-old children indicated an overall preference for the doll on the social property, as well as on opportunities for reciprocal relationships. Children also favored the doll on opportunities for love, companionship, and intimate disclosure. Altogether, these findings suggest that virtual agents afford more limited social opportunities than inanimate artifacts, and they are less likely to be loved by children and adults alike. These results raise important questions about the design goals for virtual agents, and the functions they are intended to serve in our everyday lives. This dissertation includes both previously published and co-authored material.","Aguiar, Naomi Ruth",0,,23
