X,title,abstract,authors,Included,ID
12,Patterns of infant-only wake bouts and night feeds during early infancy: An exploratory study using actigraphy in mother-father-infant triads,"Background: Infants' ability to fall back to sleep without parental involvement may reduce nighttime feeding frequency. Objective: We describe the associations between infant-only wake bouts (“self-soothing”) and nighttime feeds using actigraphy from 6 to 24 weeks of age. Methods: Mother-father-infant triads (N = 20) wore sleep monitors, and mothers recorded infant night feeds, when infants were 6, 15 and 24 weeks of age. Actigraphy data were matched within-families to quantify infant-only wake bouts (infants woke","Adams, E. L. and Master, L. and Buxton, O. M. and Savage, J. S.",0,11
13,Haemophilus meningitis in an African neonate: time for active surveillance and institution of appropriate control measure,"BACKGROUND: Childhood routine immunization in Nigeria, like most developing nations, do not include vaccination against Haemophilus influenzae type b (Hib) infection. This is probably because infection with Hib is uncommon in children younger than two months due to passive acquisition of maternal antibodies which protects newborn till about four to six months of life. OBJECTIVE: To illustrate a case of neonatal meningitis caused by Haemophilus influenzae and to highlight its other peculiarities. METHODS: A 22-day old baby presented with excessive crying, refusal of feed, progressive abdominal distension, fever and vomiting. Besides clinical assessment, body fluids were cultured. RESULTS: The baby had tachypnoea (90 bpm), tachycardia (182 bpm), and tympanitic and hypoactive abdomen. The musculoskeletal and central nervous systems appeared clinically normal. Haemophilus influenzae was isolated by culture from the cerebrospinal fluid. The baby responded well to treatment with ceftriaxone and gentamycin. Neurological examination has remained normal after discharge for up to three months at follow-up visit. CONCLUSION: There is the need to provide serological and molecular facilities for typing Nigerian Haemophilus infulenzae strain(s) to enhance the development of appropriate vaccine that will be most suitable for prevention of infection due to this organism in Nigeria. However, presently available Haemophilus influenzae vaccine needs to be listed in the National Programme for Immunization (NPI) for the control of infections associated with this organism especially in childhood.","Adeboye, M. A. and Obasa, T. O. and Fadeyi, A. and Adesiyun, O. O. and Mokuolu, O. A.",0,12
14,Perceived social support and maternal adaptation during the transition from hospital to home care of high-risk infants,"42 mothers of high-risk infants who had been hospitalized in a newborn intensive care unit were interviewed 2 mo after hospital discharge. On standard questionnaires, they reported their need for and satisfaction with support in 3 areas: emotional, informational, and tangible support. Ss also completed the Profile of Mood States","Affleck, Glenn and Tennen, Howard and Allen, Deborah A. and Gershman, Katherine",0,13
15,Physical punishment and mental disorders: Results from a nationally representative US sample,"BACKGROUND: The use of physical punishment is controversial. Few studies have examined the relationship between physical punishment and a wide range of mental disorders in a nationally representative sample. The current research investigated the possible link between harsh physical punishment (ie, pushing, grabbing, shoving, slapping, hitting) in the absence of more severe child maltreatment (ie, physical abuse, sexual abuse, emotional abuse, physical neglect, emotional neglect, exposure to intimate partner violence) and Axis I and II mental disorders. METHODS: Data were from the National Epidemiologic Survey on Alcohol and Related Conditions collected between 2004 and 2005 (N = 34 653). The survey was conducted with a representative US adult population sample (aged ≥20 years). Statistical methods included logistic regression models and population-attributable fractions. RESULTS: Harsh physical punishment was associated with increased odds of mood disorders, anxiety disorders, alcohol and drug abuse/dependence, and several personality disorders after adjusting for sociodemographic variables and family history of dysfunction (adjusted odds ratio: 1.36-2.46). Approximately 2% to 5% of Axis I disorders and 4% to 7% of Axis II disorders were attributable to harsh physical punishment. CONCLUSIONS: Harsh physical punishment in the absence of child maltreatment is associated with mood disorders, anxiety disorders, substance abuse/dependence, and personality disorders in a general population sample. These findings inform the ongoing debate around the use of physical punishment and provide evidence that harsh physical punishment independent of child maltreatment is related to mental disorders. Copyright © 2012 by the American Academy of Pediatrics.","Afifi, T. O. and Mota, N. P. and Dasiewicz, P. and MacMillan, H. L. and Sareen, J.",0,14
16,Probiotics and Synbiotics for Management of Infantile Colic,"Infantile colic is affecting up to 20% of infants and is a frustrating problem for parents and the healthcare system. Although pathogenesis of infantile colic remains unknown one hypothesis is inflammation and visceral pain. There is increasing evidence suggestive of difference in intestinal microbiota among infants with colic and healthy controls. Probiotic consumption influences the microbiome as a dynamic stuff. Based on several studies, using probiotic and synbiotic can perform as a potentially useful strategy for prevention and treatment of pain and fussiness in colicky infants. © 2017 Elsevier Inc. All rights reserved.","Ahanchian, H. and Javid, A.",0,15
18,The relationship between food insecurity and anthropometric measures at birth in low income households,"Background: Food security is one of the important factors that influence health and well-being throughout the life cycle. Objectives: This study aimed to determine the relationship between household (HH) food security status and anthropometric indices at birth and before 6-years-of age among children in a low income community in Mashhad city. Methods: In this cross-sectional study, 240 Iranian HHs which had at least one under 6-year old child were selected through systematic cluster sampling. Height and weight of children were measured. Also, their length and weight at birth were collected from their vaccination certificate. Anthropometric status (based on z-scores) of children were evaluated by WHO Anthro-Plus software. Results: Severe, moderate, and mild food insecurity was observed in 7.1, 20, and 34.2% of the HHs, respectively. A significant association was observed between HH food insecurity and average height of their under 6-year-old children. There was no association between HH food insecurity and children’s measurements at birth (P > 0.05). Comparison of anthropometric status at birth and between 1 to 6 years of age in food secure and insecure groups based on Wilcoxon test, showed a significant difference between z-scores of weight for age (WAZ) and body mass index (BMI) for age (BAZ) in children from food insecure HHs. Conclusions: The results suggest that children in food insecure HHs do not necessarily have abnormal weight and length at birth, but growing up in a food insecure HH may lead to abnormal anthropometric status. Proper strategies to ensure food security in low income HHs may help to prevent child undernutrition. © 2019, Author(s).","Ahmadihoseini, A. and Omidvar, N. and Nematy, M. and Safarian, M. and Salehi, M.",0,16
19,Probiotics for infantile colic,"Background: The prevalence of infant colic is high and it has a significant impact on the live of the infants and their families, given that effective treatment has not been found. Objective: The aim of this study to evaluate the effects of pedilact probiotic drops for the treatment of infants colic in children. Methods: This study was carried out on 72 infants, presented with infantile colic who were admitted to the Tehran children Medical Center. These children were assigned randomly (using 2 blinded-randomized trial) into two equal groups named PRR (Probiotic receiving) and PCR (Placebo receiving) groups. The demographic information of the infants such as age and sex, maternal age, patient admission time and confounding factors such as passive smoker, family history of atopy, antibiotic use, and delivery type was recorded in both groups based on the statements provided by the mothers. The weight of the infants was also recorded. Results: There was no significant difference in the distribution of infant's sex, mother's age, type of labor, type of nutrition, quality of life and exposure to smoke between the two groups. The weight of the newborns increased in each of the two groups and there was a significant increase in the PRR group (p value < 0.0001), while in the PCR group no significant growth was observed (p value = 0.437). The frequency of crying in both groups decreased over the time, which was significant in PRR group only (p value < 0.001). There were no significant difference between PRR and PCR groups in fecal consistency and pattern of sleep on each day of 0, 7, 14, 21, and 28 (28 days p value = 0.475 and 0.086, respectively). Conclusion: Probiotic therapy significantly reduced the frequency and duration of crying and increased neonatal weight gain during the study, which can chiefly improve the quality of life. © 2020 The Authors","Ahmadipour, S. and Fallahi, A. and Rahmani, P.",0,17
20,Clinical efficacy of lactase enzyme supplement in infant colic: A randomised controlled trial,"Objectives: To determine the efficacy of lactase enzyme supplement in infant colic. Methods: The double-blind randomised clinical trial was conducted from November 2014 to June 2017 at Kharadar General Hospital, Karachi, and comprised infants aged 0-6 months with infant colic, excessive crying lasting at least 3 hours a day on at least 3 days a week for at least 3 weeks. The subjects were randomised into intervention group A which received lactase enzyme Colibid, and placebo group B. Five drops of intervention preparation were received by all the infants before each feed for two weeks. Confidentiality of active agent and placebo was maintained through drug codes. The duration of crying was recorded at baseline then after first and second weeks of intervention. The two groups were compared with level of significance set at p<0.05. Results: There were 104 subjects with 52(50%) in each of the two groups Overall, 50(48.1%) were boys. At baseline, all (100%) the subjects had infant colic or excessive crying. After two-week intervention, significant improvement was seen in the duration of crying in group A 45(86.5%) compared to group B 31(59.6%) (p<0.05). Conclusion: Significant improvement was seen in the duration of crying in infants who received lactase enzyme supplement. © 2018, Pakistan Medical Association. All rights reserved.","Ahmed, M. and Billoo, A. G. and Iqbal, K. and Memon, A.",0,18
21,Non-sucrose sweetener for pain relief in sick newborns,"A prospective controlled blind study was carried out in the Special Care Unit for Newborns to assess the effect of commercially available sweetener on pain relief in newborns. Response to intramuscular injection and the pain stimulus was studied in twenty-five sick newborns, 13 preterm and 12 term, in a blinded fashion. Pain score, duration of cry, heart rate and oxygen saturations were studied. Basal response, responses with sterile water or sweetener were recorded in each baby. Responses to sweetener versus no solution and sweetener versus sterile water were compared by applying paired t-test. The reduction in pain score with sweetener was significant when compared with no solution. The difference was not significant when compared with sterile water. Similarly, duration of cry and heart rate with sweetener were significantly less when compared to sterile water or to no solution. However, the difference in oxygen saturation was not significantly different. Sweetener has an analgesic effect in sick babies. This can minimise adverse effects associated with painful procedures.","Ahuja, V. K. and Daga, S. R. and Gosavi, D. V. and Date, A. M.",0,19
23,The excessively crying infant: Etiology and treatment,"Excessive crying, often described as infantile colic, is the cause of 10% to 20% of all early pediatrician visits of infants aged 2 weeks to 3 months. Although usually benign and self-limiting, excessive crying is associated with parental exhaustion and stress. However, an underlying organic cause is found in less than 5% of these infants. In the majority of cases, treatment consists not of ""curing the colic,"" although usually it is possible to reduce crying, but of helping the parents to get through this challenging period in their baby's development. The aims of this review are to discuss definition, etiology, and evaluate different treatment regimes in infants who cry excessively. © Shutterstock.","Akhnikh, S. and Engelberts, A. C. and van Sleuwen, B. E. and L'Hoir, M. P. and Benninga, M. A.",0,20
24,Severity signs of childhood diarrhoea in north eastern Nigeria,"Oral Rehydration Therapy (ORT) use in Nigeria is currently far short of the national Control of Diarrhoeal Diseases (CDD) programme goals. Towards designing health education strategies to improve this, maternal lay health concerns during diarrhoea in under-fives were examined among two large ethnic groups, the Kanuris and Buras, in northeastern Nigeria. Over half of the respondents judged the severity of diarrhoea by more than one sign and expected ORT to stop diarrhoea. Severity signs frequently described (averaging from a quarter to a half of respondents) included weakness and refusal of food","Akpede, G. O. and Omotara, B. A. and Gazali, W.",0,21
25,VCMNet: Weakly supervised learning for automatic infant vocalisation maturity analysis,"Using neural networks to classify infant vocalisations into important subclasses (such as crying versus speech) is an emergent task in speech technology. One of the biggest roadblocks standing in the way of progress lies in the datasets: The performance of a learning model is affected by the labelling quality and size of the dataset used, and infant vocalisation datasets with good quality labels tend to be small. In this paper, we assess the performance of three models for infant VoCalisation Maturity (VCM) trained with a large dataset annotated automatically using a purpose-built classifier and a small dataset annotated by highly trained human coders. The two datasets are used in three different training strategies, whose performance is compared against a baseline model. The first training strategy investigates adversarial training, while the second exploits multi-task learning as the neural network trains on both datasets simultaneously. In the final strategy, we integrate adversarial training and multi-task learning. All of the training strategies outperform the baseline, with the adversarial training strategy yielding the best results on the development set. © 2019 Association for Computing Machinery.","Al Futaisi, N. D. and Zhang, Z. and Cristia, A. and Warlaumont, A. S. and Schuller, B. W.",0,22
26,Effect of lidocaine-prilocaine eutectic mixture of local anaesthetic cream compared with oral sucrose or both in alleviating pain in neonatal circumcision procedure,"BACKGROUND: Neonatal circumcision is one of the oldest and most frequently performed surgical procedures on males. Newborns demonstrate strong endogenous reaction to pain and therefore modalities are being explored for optimum pain relief during circumcision. Pediatric nurses have a vital role for the use of these modalities and minimising the pain response during the neonatal minor procedures. AIM: The aim of this study was to assess the effectiveness of eutectic mixture of local anaesthetic (EMLA) cream compared with oral sucrose and both in alleviating pain in neonatal circumcision. MATERIALS AND METHODS: This study was conducted in the Day Care Surgery Department of Maternity and Children Hospital, Dammam City, KSA. 90 full-term newborn males who underwent circumcision were divided randomly into three groups (30 each). Each group was assigned to receive a different type of analgesics such as EMLA cream (Group A), oral sucrose (Group B) or combination of EMLA cream and oral sucrose (Group C). Neonatal pain agitation and sedation scale (N-PASS) was used 5 min before, during and 5 min after the circumcision procedure to assess the neonatal response to pain. RESULTS: N-PASS scores were significantly lower in Group C (median Group C = 5.2, Group A = 5.8, Group B = 8.5","Al Qahtani, R. and Abu-Salem, L. Y. and Pal, K.",0,23
27,Knowledge of Iraqi primary health care physicians about breastfeeding,"A questionnaire survey was conducted on 50 primary health care physicians in Ramadi city, Iraq, in 2001 to assess their knowledge and identify misperceptions about breastfeeding. Basic knowledge about the main processes of breastfeeding was good (when to start feeding, frequency of feeding, relactation, importance of psychological factors), but there were deficiencies in their ability to deal with some practical problems related to breastfeeding. Only 64% would advise continuation of breastfeeding when a lactating mother discovers that she is pregnant, 38% of them thought a mothers ability to breastfeed was related to breast size and only 66% knew when to start feeding after caesarean section. Steps for improving the knowledge and training are addressed.","Al-Zwaini, E. J. and Al-Haili, S. J. and Al-Alousi, T. M.",0,24
28,Do child healthcare professionals and parents recognize social-emotional and behavioral problems in 1-year-old infants?,"Growing evidence supports the existence of clinically significant social-emotional/behavioral (SEB) problems among as young as 1-year-old infants. However, a substantial proportion of early SEB problems remain unidentified during contacts with child healthcare professionals. In this study, child healthcare nurse (CHCN","Alakortes, J. and Kovaniemi, S. and Carter, A. S. and Bloigu, R. and Moilanen, I. K. and Ebeling, H. E.",0,25
29,Increasing physical activity in postpartum multiethnic women in Hawaii: Results from a pilot study,"Background: Mothers of an infant are much less likely to exercise regularly compared to other women. This study tested the efficacy of a brief tailored intervention to increase physical activity (PA) in women 3-12 months after childbirth. The study used a pretest-posttest design. Sedentary women (n = 20) were recruited from a parenting organization. Half the participants were ethnic minorities, mean age was 33 ± 3.8, infants' mean age was 6.9 ± 2.4 months, 50% were primiparas, and mean body mass index was 23.6 ± 4.2. Methods: The two-month intervention included telephone counseling, pedometers, referral to community PA resources, social support, email advice on PA/pedometer goals, and newsletters. The primary outcome of the study was minutes per week of moderate and vigorous leisure-time physical activity measured by the Godin physical activity instrument. Results: All women (100%) returned for post-test measures","Albright, C. L. and Maddock, J. E. and Nigg, C. R.",0,26
30,The chiropractic care of infants with colic: A systematic review of the literature,Purpose: To perform a systematic review of the literature on the chiropractic care of patients with infantile colic. Methods: The following databases were interrogated: MANTIS [1965-2010],"Alcantara, J. and Alcantara, J. D. and Alcantara, J.",0,27
31,Relative contributions of parent-perceived child characteristics to variation in child feeding behavior,"Few studies have examined the relative impact of co-occurring child characteristics on problematic feeding behavior. The aim of the current study was to assess the relative contributions of parent-perceived child characteristics in multivariable models of child feeding behavior. One hundred sixty-one mothers reported on their child's feeding behavior and a number of key child characteristics. These characteristics were entered into controlled multivariable models of child feeding behavior, using child and parent frequency domains of the Behavioral Pediatrics Feeding Assessment Scale (BPFAS","Aldridge, V. K. and Dovey, T. M. and Martin, C. I. and Meyer, C.",0,28
32,Determinants of neonatal sepsis among neonates in the northwest part of Ethiopia: case-control study,"BACKGROUND: Neonatal sepsis is one of the leading causes of neonatal morbidity and mortality. Despite implementing of different preventive interventions, the burden of neonatal sepsis is reporting in different areas of Ethiopia. For further interventions, identifying its determinants is found to be crucial. OBJECTIVE: This study aimed to identify determinants of neonatal sepsis in the Northwest part of Ethiopia. METHODS: Unmatched case-control study was conducted among 246 neonates admitted in neonatal intensive care unit, Northwest Ethiopia. Study participants were selected from February 1st to March 30th 2018. Data was collected through face to face interview and review of neonates' medical records using pretested structured questionnaire. Data was entered into Epi Data version 4.2.0.0 and further transferred to SPSS statistical software version 25 for analysis. All independent variables with p-value < 0.25 in Bivariable analysis were entered into multivariable logistic regression analysis. Finally, variables with p-value < 0.05 were considered as determinants of neonatal sepsis. RESULTS: A total of 82 cases and 164 controls were included in this study. Neonates with gestational age < 37 weeks [AOR = 6.90","Alemu, M. and Ayana, M. and Abiy, H. and Minuye, B. and Alebachew, W. and Endalamaw, A.",0,29
33,Efficacy of tramadol versus fentanyl for postoperative analgesia in neonates,"OBJECTIVE: To assess, in newborn infants submitted to surgical procedures, the efficacy of two opioids-fentanyl and tramadol-regarding time to extubate, time to achieve 100 ml/kg of enteral feeding and pain in the first 72 h after surgery. DESIGN: Controlled, blind, randomised clinical trial. SETTING: Neonatal intensive care unit. PATIENTS: 160 newborn infants up to 28 days of life requiring major or minor surgeries. INTERVENTIONS: Patients were randomised to receive analgesia with fentanyl (1-2 μg/kg/h intravenously) or tramadol (0.1-0.2 mg/kg/h intravenously) in the first 72 h of the postoperative period, stratified by surgical size and by patient's gender. MAIN OUTCOME MEASURES: Pain assessed by validated neonatal scales (Crying, Requires oxygen, Increased vital signs, Expression and Sleepless Scale and the Neonatal Facial Coding System), time until extubation and time to reach 100 ml/kg enteral feeding. Statistical analysis included repeated measures analysis of variance adjusted for confounding variables and Kaplan-Meier curve adjusted by a Cox model of proportional risks. RESULTS: Neonatal characteristics were (mean±SD) birth weight of 2924±702 g, gestational age of 37.6±2.2 weeks and age at surgery of 199±63 h. The main indication of surgery was gastrointestinal malformation (85 newborns","Alencar, A. J. and Sanudo, A. and Sampaio, V. M. and Góis, R. P. and Benevides, F. A. and Guinsburg, R.",0,30
