X,abstract,authors,Included,doi,ID
287,"This article reviews the literature on the efficacy of treatment for voice disorders primarily using studies published in peer-reviewed journals. Voice disorders are defined, their frequency of occurrence across the life span is reported, and their impact on the lives of individuals with voice disorders is documented. The goal of voice treatment is to maximize vocal effectiveness given the existing disorder and to reduce the handicapping effect of the voice problem. Voice treatment may be (a) the preferred treatment to resolve the voice disorder when medical (surgical or pharmacological) treatments are not indicated; (b) the initial treatment in cases where medical treatment appears indicated; it may obviate the need for medical treatment; (c) completed before and after surgical treatment to maximize long-term post-surgical voice; and (d) a preventative treatment to preserve vocal health. Experimental and clinical data are reviewed that support these roles applied to various disorder types: (a) vocal misuse, hyperfunction and muscular imbalance (frequently resulting in edema, vocal nodules, polyps or contact ulcers); (b) medical or physical conditions (e.g., laryngeal nerve trauma, Parkinson disease); and (c) psychogenic disorders (e.g., conversion reactions, personality disorders). Directions for future research are suggested which maximize clinical outcomes and scientific rigor to enhance knowledge on the efficacy of voice treatment.","L. O. Ramig, K. Verdolini (1998).  Treatment efficacy: voice disorders Journal of Speech, Language & Hearing Research, 41(1),  S101-16",0,,216
288,"Nurses working in five Swedish forensic psychiatric units filled in a questionnaire designed for general psychiatric nursing, modified for forensic use. Data reflecting work satisfaction, clinical supervision and nursing activities were analysed. Seven factors were identified. The nurses were most satisfied with 'co-operation', 'information', and 'workrole', and they were less satisfied with relatives' and patients' influence. The focus of clinical supervision was mainly directed towards a patient's mental problems and how to interact with him/her. The nurses preferred that the patients problem should be formulated by the patient, or by the patient and the nurse together. The most salient findings of the present study were: (1) in spite of working in a clinical environment characterised by violent patients and conflict, work satisfaction was almost the same as nurses and occupational therapists in Swedish general psychiatric care; (2) the item with which they were most dissatisfied concerned the patients' relatives involvement in the care process.","M. Rask, S. Levander (2002).  Nurses satisfaction with nursing care and work in Swedish forensic psychiatric units Journal of Mental Health, 11(5),  545-556",0,,217
289,"Accidentally killing or feeling responsible for another person's death constitutes an event that is different from many typical traumatic stressors in that the responsibility for causing the trauma is located in the person themselves, rather than another person or persons. Research exploring the perspective of those who have accidentally caused a death is extremely sparse. This study aimed to gain an insight into the lived experiences of people who have caused an accidental death. Five participants were recruited through an on-line advertisement; all were drivers directly involved in a road traffic accident that occurred unexpectedly, without intention and resulted in a person's death. An interpretive phenomenological approach was used to analyse data collected through semi-structured interviews. Three main themes emerged from the participants' accounts: trying to make sense of a life changing moment; struggling to cope with the trauma of causing a death, and a changed sense of self. These findings highlight the considerable and enduring trauma associated with causing an accidental death, and emphasise the need to develop appropriate interventions to help alleviate this psychological distress.","Sara B. Rassool, Pieter W. Nel (2012).  Experiences of Causing an Accidental Death: An Interpretative Phenomenological Analysis Death Studies, 36(9),  832-857",0,,218
291,"Objective: We examined the capacity of the disaster mental health workforce in Victoria, Australia, to provide the three evidence-supported intervention types of psychological first aid, skills for psychological recovery, and intensive mental health treatments. Method: Utilizing data from a cross-professional, state-level disaster mental health workforce survey ( n = 791), we developed composite capacity indicators (CCI) for each intervention and performed logistic regression analyses to examine key predictors of disaster mental health workforce capacity. Results: CCI profiles highlighted significant gaps in the disaster mental health capacity of Victorian providers, with only 32-42% able to deliver current best practice interventions. Key predictors of workforce capacity common and unique to interventions were highlighted. Conclusions: Key strategies to raise Victoria's disaster mental health workforce capacity should focus on targeted multilevel training in best practice interventions, creation of practice opportunities, and structural provider support/engagement. CCIs focused on best practice interventions provide a methodology for rapid workforce capacity assessment that can facilitate disaster preparedness planning, capacity building, and delivery of quality disaster mental health services.","Lennart Reifels, Lucio Naccarella, Grant Blashki, Jane Pirkis (2014).  Examining Disaster Mental Health Workforce Capacity Psychiatry: Interpersonal & Biological Processes, 77(2),  199-205",0,,219
292,"Purpose To investigate stress levels and causes of stress among radiologic technologists and determine whether an intervention could reduce stress in a selected radiologic technologist population. Methods Demographic characteristics and data on preintervention stress sources and levels were collected through Internet-based questionnaires. A 6-week, self-administered, mindfulness-based stress-reduction program was conducted as a pilot intervention with 42 radiologic technologists from the Veterans Administration Medical Center. Data also were collected postintervention. Identified sources of stress were compared with findings from previous studies. Results Some radiologic technologists experienced improvement in their perceptions of stress after the intervention. Sources of stress for radiologic technologists were similar to those shown in earlier research, including inconsistent management, poor management communication, conflicting demands, long work hours, excessive workloads, lack of work breaks, and time pressures. Conclusion The mindfulness-based stress-reduction program is an example of an inexpensive method that could improve personal well-being, reduce work errors, improve relationships in the workplace, and increase job satisfaction. More research is needed to determine the best type of intervention for stress reduction in a larger radiologic technologist population.","Lynn Reingold (2015).  Evaluation of Stress and a Stress-Reduction Program Among Radiologic Technologists Radiologic Technology, 87(2),  150-162",0,,220
293,"Background. Rehabilitation as soon as possible after trauma decreases sedentary behavior, deconditioning, length of stay, and risk of rehospitalization. Objective. The study objectives were to describe exposure of older patients with trauma to rehabilitation and to explore factors associated with the number and initiation of therapy sessions. Design. This was a retrospective study of data from electronic medical records. Methods. Randomly selected older patients with trauma were described with regard to demographics, trauma diagnoses, comorbidities, preadmission function, and exposure to therapy. Regression analyses explored factors associated with number of therapy sessions and days until therapy was ordered and completed. Results. Records for 137 patients were randomly selected from records for 1,387 eligible patients who had trauma and were admitted over a 2-year period to a level I trauma center. The 137 patients received 303 therapy sessions. The sample included 63 men (46%) and 74 women (54%) who were 78 (SD= 10) years of age; most patients were white (n=115 [84%]). All patients had orders for therapy, although 3 patients (2%) were never seen. An increase in comorbidities was associated with an increase in therapy sessions, a decrease in the number of days until an order was written, but an increase in the number of days from admission to evaluation. Injury severity was associated with a decrease in the number of days from admission to an order being written. A postponed or canceled therapy session was associated with increases in the number of days from admission to evaluation and in the number of days from an order being written to evaluation. Limitations. This study was a retrospective review of a small sample with subjective measures and several dichotomous variables. Conclusions. Increased injury severity, increased numbers of comorbidities, and postponed or canceled therapy sessions were associated with decreased time from admission to therapy orders, increased time from admission and orders to evaluation, and increased number of therapy sessions.","Barbara Resnick, Chris L. Wells, Becky A. Brotemarkle, Allison K. Payne (2014).  Exposure to Therapy of Older Patients With Trauma and Factors That Influence Provision of Therapy Physical Therapy, 94(1),  40-51",0,,221
294,"French national guidelines for the management of HIV non-occupational post-exposure (nPEP) were issued in 1998 and updated in 2003. NPEP is available and free of charge in all emergency or AIDS care units of French hospitals. A regional survey was carried out to study physicians' adherence to national guidelines, and determinants of adherence to nPEP follow-up in individuals sexually exposed to HIV. The survey was based on retrospective data collection of all consultations for nPEP made in the three AIDS information centers in South-Eastern France (January 2001-December 2002). Information included personal data, type of exposure, and treatment at the first visit after exposure and during follow-up. Exposures were classified into high risk (treatment highly recommended), moderate risk (treatment possibly recommended) and negligible risk (treatment never recommended) categories, according to the level of HIV risk of sexual transmission as indicated by the French national nPEP guidelines. Among the 910 sexual exposures, 56%, 37%, and 4% were classified as cases with high, moderate, and no risk respectively. NPEP was prescribed to 85% of cases. HIV risk of sexual exposure was significantly associated with nPEP receipt though more than half of the cases with negligible risk received nPEP. Independent characteristics associated with non-adherence to nPEP follow-up were younger age, being referred to hospital by a physician, sexual exposure with a casual partner or sexual assault, and 'moderate risk' exposure. Better information should be provided to physicians prescribing nPEP to limit over-prescription while new strategies should be implemented to improve follow-up of individuals receiving nPEP, especially those who are younger or survivors of sexual assault.","D. Rey, M. K. Bendiane, A. D. Bouhnik, J. Almeda, J. P. Moatti, M. P. Carrieri (2008).  Physicians' and patients' adherence to antiretroviral prophylaxis after sexual exposure to HIV: results from South-Eastern France AIDS Care, 20(5),  537-541",0,,222
295,"Background: A number of different systems of classification of delusional content exist. The basis for these systems is unclear.Aims: The objective of this study was to investigate the manifest themes of delusions.Methods: Semi-structured interviews were carried out with twenty-five participants. Interpretive phenomenological analysis was used to generate a typology of themes. A second type of analysis used a data-display matrix of participants and themes. The latter matrix displayed the pattern of themes for each individual. A range of verification methods was used.Results: A typology was constructed of 34 themes that fell into 6 general topic 'domains' namely, negative self, negative interaction, special self, identity and relationships, specific mental experience, and entities. The majority of themes related to aspects of the self and social relationships. Each individual had a unique selection of themes that tended to cohere as a whole. We also found, as Freeman and Garety (2000) suggested, that some conventional definitions of content are not adequate.Conclusions: The conventional systems for classifying delusions are distorting since they imply that individuals fit into distinct groups, for example, 'the grandiose'. Our analysis suggests individuals tend to have a complex set of interconnected themes drawing uniquely from several possible domains.Declaration of interest: No financial support was given for this study. All authors are employed by the relevant government health service listed above.","J. Rhodes, S. Jakes, J. Robinson (2005).  A qualitative analysis of delusional content Journal of Mental Health, 14(4),  383-398",0,,223
296,This prospective field trial compared two post-trauma support systems following armed robberies - Critical Incident Stress Debriefing (CISD) as a stand alone group intervention and integrated Critical Incident Stress Management (CISM) - delivered to two groups of raided employees. Morbidity was measured using two measures of post-traumatic stress and a general health measure. Morbidity in both groups was equivalent at day 3 and one month post-raid. The CISM group had significantly less posttrauma morbidity at follow-up (3-12 months post raid) compared to CISD alone supplying evidence for the superior efficacy of postdisaster interventions when these are delivered in an integrated CISM format. Calls to cease 'debriefing' are premature and integrated CISM systems should now be the subject of randomised controlled studies.,"D. Richards (2001).  A field study of critical incident stress debriefing versus critical incident stress management Journal of Mental Health, 10(3),  351-362",0,,224
297,"Outdoor electronic dance-music festivals (EDMFs) are typically summer events where attendees can dance for hours in hot temperatures. EDMFs have received increased media attention because of their growing popularity and reports of illness among attendees associated with recreational drug use. MDMA (3,4-methylenedioxymethamphetamine) is one of the drugs often used at EDMFs. MDMA causes euphoria and mental stimulation but also can cause serious adverse effects, including hyperthermia, seizures, hyponatremia, rhabdomyolysis, and multiorgan failure. In this report, MDMA and other synthetic drugs commonly used at dance festivals are referred to as 'synthetic club drugs.' On September 1, 2013, the New York City (NYC) Department of Health and Mental Hygiene (DOHMH) received reports of two deaths of attendees at an EDMF (festival A) held August 31-September 1 in NYC. DOHMH conducted an investigation to identify and characterize adverse events resulting in emergency department (ED) visits among festival A attendees and to determine what drugs were associated with these adverse events. The investigation identified 22 cases of adverse events; nine cases were severe, including two deaths. Twenty-one (95%) of the 22 patients had used drugs or alcohol. Of 17 patients with toxicology testing, MDMA and other compounds were identified, most frequently methylone, in 11 patients. Public health messages and strategies regarding adverse health events might reduce illnesses and deaths at EDMFs.","Alison Ridpath, Cynthia R. Driver, Michelle L. Nolan, Adam Karpati, Daniel Kass, Denise Paone, Andrea Jakubowski, Robert S. Hoffman, Lewis S. Nelson, Hillary V. Kunins (2014).  Illnesses and deaths among persons attending an electronic dance-music festival - New York City, 2013 MMWR: Morbidity & Mortality Weekly Report, 63(50),  1195-1198",0,,225
298,"Chronic stress is among the most common diagnoses in Sweden, most commonly in the form of exhaustion syndrome ( ICD-10 classification - F43.8). The majority of patients with this syndrome also have disturbed breathing (hyperventilation). The aim of this study was to investigate the association between hyperventilation and exhaustion syndrome. Thirty patients with exhaustion syndrome and 14 healthy subjects were evaluated with the Nijmegen Symptom Questionnaire ( NQ). The participants completed questionnaires about exhaustion, mental state, sleep disturbance, pain and quality of life. The evaluation was repeated 4 weeks later, after half of the patients and healthy subjects had engaged in a therapy method called ' Grounding', a physical exercise inspired by African dance. The patients reported significantly higher levels of hyperventilation as compared to the healthy subjects. All patients' average score on NQ was 26.57 ± 10.98, while that of the healthy subjects was 15.14 ± 7.89 ( t = −3.48, df = 42, p < 0.001). The NQ scores correlated strongly with two measures of exhaustion ( Karolinska Exhaustion Scale KES r = 0.772, p < 0.01; Shirom Melamed Burnout Measure SMBM r = 0.565, p < 0.01), mental status [Hospital Anxiety and Depression Score (HADS) depression r = 0.414, p < 0.01; HADS anxiety r = 0.627, p < 0.01], sleep disturbances ( r = −0.514, p < 0.01), pain ( r = −.370, p < 0.05) and poor well-being ( Medical Outcomes Survey Short Form 36 questionnaire- SR Health r = −0.529, p < 0.05). In the logistic regression analysis, the variance in the scores from NQ were explained to a high degree ( R2 = 0.752) by scores in KES and HADS. The brief Grounding training contributed to a near significant reduction in hyperventilation ( F = 2.521, p < 0.124) and to significant reductions in exhaustion scores and scores of depression and anxiety. The conclusion is that hyperventilation is common in exhaustion syndrome patients and that it can be reduced by systematic physical therapy such as Grounding.","Heli Ristiniemi, Aleksander Perski, Eugene Lyskov, Margareta Emtner (2014).  Hyperventilation and exhaustion syndrome Scandinavian Journal of Caring Sciences, 28(4),  657-664",0,,226
299,"In this paper, we propose that a history of sexual traumatization is associated with pregnancy complications and poor pregnancy-related outcomes. We further hypothesize that this relationship is mediated by the sequelae of trauma (psychopathology, health problems, and increased negative health behaviors). We review the literature linking sexual trauma with psychopathology, health, and health behavior and then outline the impact of these variables on pregnancy. Based on this review, we draw conclusions about the potential impact of sexual trauma on pregnancy outcomes. We suggest future directions for this area of research and discuss the clinical implications of this association, including the development of prenatal intervention and prevention programs.","C. S. Rodgers, A. J. Lang, E. W. Twamley, M. B. Stein (2003).  Sexual trauma and pregnancy: a conceptual framework Journal of Women's Health (15409996), 12(10),  961-970",0,,227
300,"Objective: To analyze the relation between the work environment and psychoactive substance consumption among hospital nurses. Methods: Cross-sectional and descriptive study, involving nurses from three public hospitals in a city in the South of Brazil, being two medium-complexity and one high-complexity institution. The study population consisted of 221 nurses. Based on this figure, the stratified sample size was calculated, considering a 50% proportion, 95% confidence level and 5% maximum error, resulting in a minimum number of 175 participants. Through proportional stratification per institution, a minimum of 103 high-complexity nurses was defined, as well as 36 nurses from each medium-complexity institution. The following inclusion criteria were adopted: having worked at the institution for at least one year and not being on leave. The data were collected between October 2015 and April 2016. In the data collection, sociodemographic and occupational information, the Nursing Work Index - Revised and the Alcohol, Smoking and Substance Involvement Screening Test. The data were analyzed in the software Statistical Package for Social Sciences, version 20.0. Initially, the normality was verified by means of the Kolmogorov-Smirnov test. Descriptive analyses were developed by absolute and relative frequencies for the categorical variables; and medians and dispersion measures for the numerical variables. Results: Alcohol, tobacco and sedatives were the most consumed substances. The monthly income was positively correlated with alcohol consumption among nurses at the medium-complexity hospitals (p=0.01). At the high-complexity hospital, alcohol consumption was negatively correlated with the physician-nurse index (p=0.03). Autonomy, physician-nurse index and organizational support were negatively correlated with the use of sedatives (p<0.01; p<0.01; p=0.02, respectively). Conclusion: The more negative the nurse's work environment, mainly in the relation with physicians, organizational support and autonomy, the greater the consumption of psychoactive substances. Objetivo: Analisar a relação entre o ambiente de trabalho e o consumo de substâncias psicoativas entre enfermeiros hospitalares. Métodos: Estudo transversal e descritivo, realizado com enfermeiros de três instituições hospitalares públicas localizados em um município da Região Sul do Brasil, sendo duas de média complexidade e uma de alta complexidade. A população deste estudo foi composta por 221 enfermeiros. Com base nesse número, calculou-se o tamanho amostral por estratos, considerando-se a proporção de 50%, nível de confiança de 95% e erro máximo de 5%, o que resultou no número mínimo de 175 participantes. Mediante a estratificação proporcional por instituição definiu-se o mínimo de 103 enfermeiros da alta complexidade e 36 de cada instituição de média complexidade. Adotou-se como critérios de inclusão: trabalhar na instituição há pelo menos um ano e não estar afastado por licença. A coleta de dados foi realizada entre outubro de 2015 e abril de 2016. Na coleta de dados utilizaram-se informações sociodemográficas e ocupacionais, o Nursing Work Index - Revised e o Alcohol, Smoking and Substance Involvement Screening Test. Os dados foram analisados no programa Statistical Package for Social Sciences, versão 20.0. Inicialmente, verificou-se a normalidade pelo teste de Kolmogorov-Smirnov. Foram realizadas análises descritivas, por frequências absoluta e relativa para as variáveis categóricas; e medianas e medidas de dispersão para as numéricas. Resultados: Álcool, tabaco e sedativos foram as substâncias mais consumidas. Renda mensal apresentou correlação positiva com o consumo de álcool entre enfermeiros dos hospitais de média complexidade (p=0,01). No hospital de alta complexidade, o consumo de álcool relacionou-se negativamente a relação médico-enfermeiro (p=0,03). Autonomia, relação médico-enfermeiro e suporte organizacional estiveram correlacionados negativamente ao uso de sedativos (p<0,01; p<0,01; p=0,02, respectivamente). Conclusão: Quanto mais desfavorável o ambiente de trabalho do enfermeiro, sobretudo na relação com médicos, suporte organizacional e autonomia, maior foi o consumo de substâncias psicoativas.","Alessandro Rolim Scholze, Júlia Trevisan Martins, Maria José Quina Galdino, Renata Perfeito Ribeiro (2017).  Occupational environment and psychoactive substance consumption among nurses Acta Paulista de Enfermagem, 30(4),  404-411",0,,228
301,"Significant data exist for the personal, environmental, and occupational risk factors for carpal tunnel syndrome. Few data, however, explain the interrelationship of tissue morphology to these factors among patients with clinical presentation of median nerve pathology. Therefore, our primary objective was to examine the relationship of various risk factors that may be predictive of subjective reports of symptoms or functional deficits accounting for median nerve morphology. Using diagnostic ultrasonography, we observed real-time median nerve morphology among 88 participants with varying reports of symptoms or functional limitations resulting from median nerve pathology. Body mass index, educational level, and nerve morphology were the primary predictive factors. Monitoring median nerve morphology with ultrasonography may provide valuable information for clinicians treating patients with symptoms of median nerve pathology. Sonographic measurements may be a useful clinical tool for improving treatment planning and provision, documenting patient status, or measuring clinical outcomes of prevention and rehabilitation interventions.","Shawn C. Roll, Kevin D. Evans, Xiaobai Li, Carolyn M. Sommerich, Jane Case-Smith (2013).  Importance of Tissue Morphology Relative to Patient Reports of Symptoms and Functional Limitations Resulting From Median Nerve Pathology American Journal of Occupational Therapy, 67(1),  64-72",0,,229
302,"Intimate partner violence is a serious issue deeply embedded in multiple contexts both internal and external making treatment and interventions difficult to implement. Although numerous models offer vital insight into aspects of intimate partner violence, in isolation they may be less effective in addressing the unique elements and complexity of the abusive situation. Therefore, in order to provide an integrated and effective method of treatment, a multi-leveled theoretical approach delineating the change process is needed. Boss's contextual model of family stress provides a broad paradigm affording clarity and organization for assessment, intervention, and treatment. Each of the elements of the contextual model of family stress are presented and applied to a case study outlining one battered woman's experience. Clinical implications addressing stressors, resources, perceptions, and contextual elements are discussed as well as treatment recommendations.","E. S. Rolling, M. W. Brosi (2010).  A multi-leveled and integrated approach to assessment and intervention of intimate partner violence Journal of Family Violence, 25(3),  229-236",0,,230
304,"Human immunodeficiency virus (HIV) and sexually transmitted disease (STD)-related risks in peacekeeping troops is a concern when they are stationed in areas of high HIV prevalence. We carried out an assessment of a situationally focused individual HIV/STD reduction intervention (where avoidance of risk situations, as well as risk behaviors, are emphasized) in one Nigerian military unit (N = 1,222), with a comparable unit from the same service as a waiting list control (N = 987). The intervention consisted of a possible five modules that were presented to groups of up to 50 personnel. Data were collected on reported sexual behaviors, condom beliefs, sexual risk behaviors with casual partners, and number of interventions attended. Data indicated significant increases in reported condom use with casual partners and positive condom beliefs at 6- and 12-month follow-up. Risk behavior was reduced 30% from baseline at 6 months and 23% from baseline at 12 months. There was also a significant dose-response effect for number of interventions attended. These data suggest that relatively brief situationally focused individual interventions are effective in military and West African contexts in reducing HIV/STD risk behaviors.","M. W. Ross, E. J. Essien, E. Ekong, T. M. James, C. Amos, G. O. Ogungbade, M. L. Williams, Michael W. Ross, E. James Essien, Ernest Ekong, T. Monique James, Charles Amos, Gbadebo O. Ogungbade, Mark L. Williams (2006).  The impact of a situationally focused individual human immunodeficiency virus/sexually transmitted disease risk-reduction intervention on risk behavior in a 1-year cohort of Nigerian military personnel Military Medicine, 171(10),  970-975",0,,231
305,"AIMS: To date, no data exist assessing the impact of either methadone or buprenorphine on adherence to highly active antiretroviral therapy (HAART) in the long term. This study was conducted in order to evaluate whether receiving take-home methadone and buprenorphine may ensure better adherence to HAART in individuals infected with human immunodeficiency virus (HIV) through injection drug use (IDU). DESIGN: Longitudinal data on adherence, opioid substitution treatment (OST) and patient behaviours starting from their first HAART prescription were collected for 276 individuals HIV-infected through drug use (n=1558 visits). SETTING: Out-patient hospital services delivering HIV care in Marseilles, Avignon, Nice and Ile de France. MEASUREMENTS: At any given visit, patients were classified both according to the type of OST received and ongoing injection. Patients who reported no injection and no OST over the whole study period were considered as 'abstinent' and used as a reference category. A logit model based on generalized estimation equations (GEE) was used to identify predictors of non-adherence. FINDINGS: After adjustment for alcohol consumption, depression and self-reported side effects, patients ceasing injection during OST and abstinent patients exhibited comparable adherence. Patients reporting injection, on OST or not, had a twofold and threefold risk, respectively, of non-adherence compared with abstinent patients (P<0.01 linear trend). Duration on OST without injecting was associated significantly with virological success. CONCLUSIONS: Both access to and effectiveness of OST contribute to sustaining adherence to HAART in HIV-infected IDUs. These results advocate strongly the need of wider use of OST in countries scaling-up HAART where HIV is driven by IDUs.","P. Roux, M. P. Carrieri, V. Villes, P. Dellamonica, I. Poizot-Martin, I. Ravaux, B. Spire (2008).  The impact of methadone or buprenorphine treatment and ongoing injection on highly active antiretroviral therapy (HAART) adherence: evidence from the MANIF2000 cohort study Addiction, 103(11),  1828-1836",0,,232
307,"A 19-year-old male arrives by ambulance at the emergency department with a chief complaint of polysubstance abuse. He has been camping with friends for the past three days, during which he apparently consumed quantities of alcohol, Ecstasy, 'mushrooms' and crystal methamphetamine. His friends had called an ambulance after the patient was found unresponsive. On arrival, the patient was combative, verbally abusive, dehydrated, cold and wet. He was reported to have not slept for the past three days. During his 12-hour stay in the emergency department, he required respiratory support, intravenous fluids, benzodiazepines, physical restraints and close monitoring. He was discharged in the care of his father. Clinical management of patients with polysubstance abuse can be complicated, especially if the patient history is vague. This article will focus on acute methamphetamine intoxication and related emergency situations surrounding this drug.","C. Rush, S. Walton (2005).  Methamphetamine intoxication and related emergency situations NENA Outlook, 28(1),  10-14",0,,233
308,"OBJECTIVE: The research aimed to investigate how people diagnosed with bipolar mood disorder avoided episodes of illness and managed to stay well. The research also examined the role that personal, social and environmental factors played in helping people with bipolar mood disorder to stay well. METHOD: This project used a combination of qualitative research methods. The design contained three (3) components: recruitment from general community, preliminary written questionnaire and semistructured interviews. To meet the criteria for inclusion, the participant must have stayed well for the past 2 years. The two main analytical categories were 'stay well concept' and 'strategies to stay well'. The main category 'strategies to stay well' contained a number of subcategories. These subcategories were acceptance of diagnosis, mindfulness, education, identify triggers, recognize warning signals, manage sleep and stress, make lifestyle changes, treatment, access support, and stay well plans. RESULTS: 100 people were eligible for inclusion in the study. The sample included 63 women and 37 men. The ages ranged from 18 to 83 years, with 86% over the age of 30. Duration of time since last episode of illness ranged from 2 years to >50 years. In the sample, 76% of participants were in paid employment. In addition, 36% of participants were parents. Participants actively managed bipolar disorder by developing a range of strategies to stay well. These strategies were based on participants' individual needs and social contexts. The strategies included acceptance of the diagnosis, education about bipolar disorder, identifying both triggers and warning signals, adequate amounts of sleep, managing stress, medication and support networks. CONCLUSION: Staying well involved participants being mindful of their illness, which enabled them to develop an individual stay-well plan, including intervention strategies to prevent episodes of illness.","S. J. Russell, J. L. Browne (2005).  Staying well with bipolar disorder Australian & New Zealand Journal of Psychiatry, 39(3),  187-193",0,,234
309,"AIDS stigma must be acknowledged and reduced to advance HIV prevention and HIV/AIDS care in a variety of settings worldwide, including in the West Indies where national epidemics are thought to be growing rapidly. Regarded by international health organizations as a formidable barrier to service delivery and receipt, AIDS stigma refers to prejudice and discrimination directed toward people living with HIV/AIDS (PLHA), persons perceived as being at risk for HIV infection, and the informal and formal service providers who care for PLHA. However, there is little evidence of successful antistigma interventions in the literature. Furthermore, beyond studies of willingness in various professions to serve clients or patients with HIV/AIDS, the stigmatizing attitudes and behaviors of service delivery personnel, paraprofessionals and volunteers have been inadequately studied. This paper uses data obtained during an AIDS awareness workshop with sports coaches in Barbados to illustrate principles of an antistigma intervention framework being developed for social service and health personnel. The Awareness/Acceptance/Action Model (AAAM) draws on principles of mindfulness, rooted in ancient Asian traditions, and recently adapted to a range of physical and mental health interventions in Western contexts. Mindfulness techniques encourage awareness of one's current state and environment, acceptance of the implications of one's attitudes and behaviors, and the development of intentional responses rather than habitually patterned reactions. In this initial effort, community leaders were guided through a series of self-reflective exercises focusing AAAM principles on their tendencies toward AIDS stigma, and exploring more compassionate and functional alternatives.","S. E. Rutledge, N. Abell (2005).  Awareness, acceptance, and action: an emerging framework for understanding AIDS stigmatizing attitudes among community leaders in Barbados AIDS Patient Care & STDs, 19(3),  186-199",0,,235
310,"Objectives:Prior integrative reminiscence interventions have had a limited focus on attachment themes. The attachment-focused integrative reminiscence (AFIR) intervention differs from these in its central emphasis on attachment themes. The wide range of health benefits resulting from integrative reminiscence may be due in part to reminiscing about, mourning, and integrating unresolved attachment experiences. Method:Participants were randomized into treatment and wait-list control conditions, completed a pre-test, met for eight consecutive weekly two-hour sessions of largely attachment-focused reminiscence, then completed post-tests immediately following the intervention and again six months later. Results:Results show treatment effects for depression (p= .01 and .05 at eight weeks and six months), perceived stress (p= .01 and .04), and emergency room (ER) visits at six months (p= .04), with the intervention group showing lower depression and stress and fewer ER visits. Conclusion:Integrative reminiscence interventions are cost effective, have rapid impact, and carry a certain appeal to older adults. Augmenting such interventions with a focus on attachment experiences may reduce perceived stress, an important health risk factor. Wider application of AFIRs may further reduce health disparities among US older adults.","Myra Sabir, Charles R. Henderson, Suk-Young Kang, Karl Pillemer (2016).  Attachment-focused integrative reminiscence with older African Americans: a randomized controlled intervention study Aging & Mental Health, 20(5),  517-528",0,,236
312,"This is the first in a series of four empirical investigations to develop International Classification of Functioning, Disability and Health (ICF) Core Sets for Attention Deficit Hyperactivity Disorder (ADHD). The objective here was to use a comprehensive scoping review approach to identify the concepts of functional ability and disability used in the scientific ADHD literature and link these to the nomenclature of the ICF-CY. Systematic searches were conducted using Medline/PubMed, PsycINFO, ERIC and Cinahl, to extract the relevant concepts of functional ability and disability from the identified outcome studies of ADHD. These concepts were then linked to ICF-CY by two independent researchers using a standardized linking procedure. Data from identified studies were analysed until saturation of ICF-CY categories was reached. Eighty studies were included in the final analysis. Concepts contained in these studies were linked to 128 ICF-CY categories. Of these categories, 68 were considered to be particularly relevant to ADHD (i.e., identified in at least 5 % of the studies). Of these, 32 were related to Activities and participation, 31 were related to Body functions, and five were related to environmental factors. The five most frequently identified categories were school education (53 %), energy and drive functions (50 %), psychomotor functions (50 %), attention functions (49 %), and emotional functions (45 %). The broad variety of ICF-CY categories identified in this study underlines the necessity to consider ability and disability in ADHD across all dimensions of life, for which the ICF-CY provides a valuable and universally applicable framework. These results, in combination with three additional preparatory studies (expert survey, focus groups, clinical study), will provide a scientific basis to define the ICF Core Sets for ADHD for multi-purpose use in basic and applied research, and every day clinical practice.","Elles Schipper, Aiko Lundequist, Anna Wilteus, David Coghill, Petrus Vries, Mats Granlund, Martin Holtmann, Ulf Jonsson, Sunil Karande, Florence Levy, Omar Al-Modayfer, Luis Rohde, Rosemary Tannock, Bruce Tonge, Sven Bölte (2015).  A comprehensive scoping review of ability and disability in ADHD using the International Classification of Functioning, Disability and Health-Children and Youth Version (ICF-CY) European Child & Adolescent Psychiatry, 24(8),  859-872",0,,237
313,"With the rising attention to global trauma, there is increased interest in utilising effective trauma healing (TH) models, especially those that integrate a spiritual component. This paper examines the effectiveness of a Scripture-based TH model developed by the Trauma Healing Institute utilised in a pilot study with Nicaraguan adults who experienced non-sexualised-related crime, disaster-related trauma, and/or interpersonal violence. An additional focus of this study was on whether increased spiritual well-being would result from this healing model. In this first empirical study on the TH model, initial results indicated that participants (N = 23) experienced both a reduction in trauma-related symptoms as well as an upward trend in spiritual well-being from pre-test to six-month follow-up. Spearman results also showed an inverse relationship between trauma symptoms and spiritual well-being. Factors that may have impacted results, limitations to this pilot study, and considerations for future studies are discussed.","Tammy Schultz, Jerry Vuncannon, Kari Bump (2016).  A pilot study of a Scripture-based trauma healing model for adults in Nicaragua Mental Health, Religion & Culture, 19(6),  613-625",0,,238
