X,authors,title,abstract,Included,ID
11,"Chen, Y., et al. (2017"," ""The relationship between job demands and employees’ counterproductive work behaviors: The mediating effect of psychological detachment and job anxiety."" Frontiers in Psychology 8.","This study aims to explore the relation between job demands and counterproductive work behaviors (CWBs). A cross-sectional sample of 439 coal miners completed a self-report questionnaire that assessed their job demands, psychological detachment, job anxiety, and CWBs in a Chinese context. The conceptual model, based on the stressor-detachment model, was examined using structural equation modeling. The results suggest that psychological detachment mediates not only the relation between job demands and job anxiety but also that between job demands and CWBs. Furthermore, the relation between job demands and CWBs is sequentially mediated by psychological detachment and job anxiety. Our findings validate the effectiveness of the stressor-detachment model. Moreover, we demonstrate that the underlying mechanism of the relation between job demands and CWBs can be explained by psychological detachment and job anxiety. (PsycINFO Database Record (c) 2018 APA, all rights reserved)",1,11
12,"Cho, K. L., et al. (2015"," ""Shear-Induced Detachment of Polystyrene Beads from SAM-Coated Surfaces."" Langmuir : the ACS journal of surfaces and colloids 31(40","In this work we experimentally and theoretically analyze the detachment of microscopic polystyrene beads from different self-assembled monolayer (SAM) surfaces in a shear flow in order to develop a mechanistic model for the removal of cells from surfaces. The detachment of the beads from the surface is treated as a thermally activated process applying an Arrhenius Ansatz to determine the activation barrier and attempt frequency of the rate determing step in bead removal. The statistical analysis of the experimental shear detachment data obtained in phosphate-buffered saline buffer results in an activation energy around 20 kJ/mol, which is orders of magnitude lower than the adhesion energy measured by atomic force microscopy (AFM). The same order of magnitude for the adhesion energy measured by AFM is derived from ab initio calculations of the van der Waals interaction energy between the polystyrene beads and the SAM-covered gold surface. We conclude that the rate determing step for detachment of the beads is the initiation of rolling on the surface (overcoming static friction) and not physical detachment, i.e., lifting the particle off the surface.",1,12
13,"Clinton, M. E., et al. (2017"," ""'It’s tough hanging-up a call': The relationships between calling and work hours, psychological detachment, sleep quality, and morning vigor."" Journal of Occupational Health Psychology 22(1","It has been argued that when people believe that their work is a calling, it can often be experienced as an intense and consuming passion with significant personal meaning. While callings have been demonstrated to have several positive outcomes for individuals, less is known about the potential downsides for those who experience work in this way. This study develops a multiple-meditation model proposing that, while the intensity of a calling has a positive direct effect on work-related vigor, it motivates people to work longer hours, which both directly and indirectly via longer work hours, limits their psychological detachment from work in the evenings. In turn, this process reduces sleep quality and morning vigor. Survey and diary data of 193 church ministers supported all hypotheses associated with this model. This implies that intense callings may limit the process of recovery from work experiences. The findings contribute to a more balanced theoretical understanding of callings. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1,13
14,"Coffeng, J. K., et al. (2014"," ""Effectiveness of a worksite social & physical environment intervention on need for recovery, physical activity and relaxation; results of a randomized controlled trial."" PloS one 9(12","OBJECTIVETo investigate the effectiveness of a worksite social and physical environment intervention on need for recovery (i.e., early symptoms of work-related mental and physical fatigue), physical activity and relaxation. Also, the effectiveness of the separate interventions was investigated.METHODSIn this 2 × 2 factorial design study, 412 office employees from a financial service provider participated. Participants were allocated to the combined social and physical intervention, to the social intervention only, to the physical intervention only or to the control group. The primary outcome measure was need for recovery. Secondary outcomes were work-related stress (i.e., exhaustion, detachment and relaxation), small breaks, physical activity (i.e., stair climbing, active commuting, sport activities, light/moderate/vigorous physical activity) and sedentary behavior. Outcomes were measured by questionnaires at baseline, 6 and 12 months follow-up. Multilevel analyses were performed to investigate the effects of the three interventions.RESULTSIn all intervention groups, a non-significant reduction was found in need for recovery. In the combined intervention (n = 92), exhaustion and vigorous physical activities decreased significantly, and small breaks at work and active commuting increased significantly compared to the control group. The social intervention (n = 118) showed a significant reduction in exhaustion, sedentary behavior at work and a significant increase in small breaks at work and leisure activities. In the physical intervention (n = 96), stair climbing at work and active commuting significantly increased, and sedentary behavior at work decreased significantly compared to the control group.CONCLUSIONNone of the interventions was effective in improving the need for recovery. It is recommended to implement the social and physical intervention among a population with higher baseline values of need for recovery. Furthermore, the intervention itself could be improved by increasing the intensity of the intervention (for example weekly GMI-sessions), providing physical activity opportunities and exercise schemes, and by more drastic environment interventions (restructuring entire department floor).TRIAL REGISTRATIONNederlands Trial Register NTR2553.",1,14
15,"Coffeng, J. K., et al. (2012"," ""The development of the Be Active & Relax ""Vitality in Practice"" (VIP","BACKGROUNDThere is strong evidence to suggest that multiple work-related health problems are preceded by a higher need for recovery. Physical activity and relaxation are helpful in decreasing the need for recovery. This article aims to describe (1) the development and (2) the design of the evaluation of a daily physical activity and relaxation intervention to reduce the need for recovery in office employees.METHODS/DESIGNThe study population will consist of employees of a Dutch financial service provider. The intervention was systematically developed, based on parts of the Intervention Mapping (IM) protocol. Assessment of employees needs was done by combining results of face-to-face interviews, a questionnaire and focus group interviews. A set of theoretical methods and practical strategies were selected which resulted in an intervention program consisting of Group Motivational Interviewing (GMI) supported by a social media platform, and environmental modifications. The Be Active & Relax program will be evaluated in a modified 2 X 2 factorial design. The environmental modifications will be pre-stratified and GMI will be randomised on department level. The program will be evaluated, using 4 arms: (1) GMI and environmental modifications; (2) environmental modifications; (3) GMI; (4) no intervention (control group). Questionnaire data on the primary outcome (need for recovery) and secondary outcomes (daily physical activity, sedentary behaviour, relaxation/detachment, work- and health-related factors) will be gathered at baseline (T0), at 6 months (T1), and at 12 months (T2) follow-up. In addition, an economic and a process evaluation will be performed.DISCUSSIONReducing the need for recovery is hypothesized to be beneficial for employees, employers and society. It is assumed that there will be a reduction in need for recovery after 6 months and 12 months in the intervention group, compared to the control group. Results are expected in 2013.TRIAL REGISTRATIONNetherlands Trial Register (NTR): NTR2553.",1,15
16,"Coffeng, J. K., et al. (2015"," ""Physical activity and relaxation during and after work are independently associated with the need for recovery."" Journal of Physical Activity & Health 12(1","Background: Research is needed to better understand the associations between during-work and after-work-hours physical activity and relaxation and need for recovery (NFR), so a study of these variables in office workers at a financial service provider was undertaken. Methods: Self-reported baseline data of 412 employees (mean age = 41.3 y; 39.6% women) were used. Linear regression analyses were performed to test associations of physical activity, relaxation, detachment, and breaks at work with NFR. Results: A lower NFR was significantly positively associated with standing, stair climbing, active lunch break, relaxation at work, detachment at work, physical detachment at work, relaxation at home, and detachment at home. In the multiple model, a lower NFR was independently positively associated with frequency of stair climbing, minutes spent in leisure activities, detachment at work, physical detachment at work, and relaxation and detachment at home (P < .05). Significant effect modification indicated that the positive association between relaxation at home and NFR was stronger with high job demands. Conclusion: Although prospective evidence is necessary to confirm the causal relationships, our findings suggest that engaging in stair climbing, leisure activities, (physical) detachment at work, relaxation and detachment after work is associated with a lower NFR. For future work site health promotion initiatives, interventions might be targeted at improving physical activity and relaxation. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1,16
17,"Collino, R. R., et al. (2014"," ""Detachment of compliant films adhered to stiff substrates via van der Waals interactions: role of frictional sliding during peeling."" Journal of the Royal Society, Interface 11(97","The remarkable ability of some plants and animals to cling strongly to substrates despite relatively weak interfacial bonds has important implications for the development of synthetic adhesives. Here, we examine the origins of large detachment forces using a thin elastomer tape adhered to a glass slide via van der Waals interactions, which serves as a model system for geckos, mussels and ivy. The forces required for peeling of the tape are shown to be a strong function of the angle of peeling, which is a consequence of frictional sliding at the edge of attachment that serves to dissipate energy that would otherwise drive detachment. Experiments and theory demonstrate that proper accounting for frictional sliding leads to an inferred work of adhesion of only approximately 0.5 J m(-2) (defined for purely normal separations) for all load orientations. This starkly contrasts with the interface energies inferred using conventional interface fracture models that assume pure sticking behaviour, which are considerably larger and shown to depend not only on the mode-mixity, but also on the magnitude of the mode-I stress intensity factor. The implications for developing frameworks to predict detachment forces in the presence of interface sliding are briefly discussed.",1,17
18,"Cooperstein, M. A., et al. (2014"," ""Synthesis and optimization of fluorescent poly(N-isopropyl acrylamide","Although there are many stimulus-responsive polymers, poly(N-isopropyl acrylamide) (pNIPAM) is of special interest due to the phase change it undergoes in a physiologically relevant temperature range that leads to the release of cells and proteins. The nondestructive release of cells opens up a wide range of applications, including the use of pNIPAM for cell sheet and tissue engineering. In this work, pNIPAM surfaces were generated that can be distinguished from the extracellular matrix. A polymerization technique was adapted that was previously used by Mendez, and the existing protocol was optimized for the culture of mammalian cells. The resulting surfaces were characterized with X-ray photoelectron spectroscopy and goniometry. The developed pNIPAM surfaces were further adapted by incorporation of 5-acrylamidofluorescein to generate fluorescent pNIPAM-coated surfaces. Both types of surfaces (fluorescent and nonfluorescent) sustained cellular attachment and produced cellular detachment of ∼90%, and are therefore suitable for the generation of cell sheets for engineered tissues and other purposes. These surfaces will be useful tools for experiments investigating cellular detachment from pNIPAM and the pNIPAM/cell interface.",1,18
19,"Couzon, C., et al. (2009"," ""Critical stresses for cancer cell detachment in microchannels."" European biophysics journal : EBJ 38(8","We present experiments involving cancer cells adhering to microchannels, subjected to increasing shear stresses (0.1-30 Pa). Morphological studies were carried out at different shear stresses. Cells exhibit spreading patterns similar to those observed under static conditions, as long as the shear stress is not too high. At critical wall shear stresses (around 2-5 Pa), cell-substrate contact area decreases until detachment at the larger stresses. Critical shear stresses are found to be lower for higher confinements (i.e. smaller cell height to channel height ratio). Fluorescent techniques were used to locate focal adhesions (typically 1 lm(2) in size) under various shearing conditions, showing that cells increase the number of focal contacts in the region facing the flow. To analyze such data, we propose a model to determine the critical stress, resulting from the competition between hydrodynamic forces and the adhesive cell resistance. With this model, typical adhesive stresses exerted at each focal contact can be determined and are in agreement with previous works.",1,19
20,"Crain, T. L., et al. (2017"," ""Cultivating teacher mindfulness: Effects of a randomized controlled trial on work, home, and sleep outcomes."" Journal of Occupational Health Psychology 22(2","The effects of randomization to a workplace mindfulness training (WMT) or a waitlist control condition on teachers’ well-being (moods and satisfaction at work and home), quantity of sleep, quality of sleep, and sleepiness during the day were examined in 2 randomized, waitlist controlled trials (RCTs). The combined sample of the 2 RCTs, conducted in Canada and the United States, included 113 elementary and secondary school teachers (89% female). Measures were collected at baseline, postprogram, and 3-month follow-up; teachers were randomly assigned to condition after baseline assessment. Results showed that teachers randomized to WMT reported less frequent bad moods at work and home, greater satisfaction at work and home, more sleep on weekday nights, better quality sleep, and decreased insomnia symptoms and daytime sleepiness. Training-related group differences in mindfulness and rumination on work at home at postprogram partially mediated the reductions in negative moods at home and increases in sleep quality at follow-up. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",1,20
21,"Crocker, D. W. (2009"," ""Malaria survey and malaria control detachments in the South-West Pacific Area in World War 2."" Papua and New Guinea medical journal 52(1-2","Malaria among troops in the South-West Pacific Area (SWPA) in World War 2 affected the military effort to the degree that special units were formed to combat it. These malaria survey detachments (MSDs) and malaria control detachments (MCDs) were self-contained and so could move quickly to wherever their services were needed. In SWPA by 25 September 1944 there were 32 MSDs and 65 MCDs. Tables of organization called for 11 enlisted men in MSDs and MCDs, two officers in MSDs and one in MCDs. Detachments served throughout the SWPA. Detailed records of the 31st MSD show that in addition to antimalarial efforts it worked at control of scrub typhus, dengue and venereal disease, at reduction of rat populations and in experimental work involving DDT and schistosomiasis. Specific locations of the 31st MSD were New Guinea (3 sites), Morotai, Leyte, Mindoro, Okinawa and Japan. The detachment served overseas for 21 months. Experience in combating malaria in SWPA in World War 2 points to the need for better and continuous training of both medical and line officers in malaria prevention and control.",1,21
22,"Dailey, J. I. and V. L. Ijames (2014"," ""Evolution of the combat and operational stress control detachment."" U.S. Army Medical Department journal: 8-13.","Medical units designed to provide combat and operational stress control services have evolved since World War II into the current Combat and Operational Stress Control (COSC) detachments. Yet the structure of these COSC detachments differ greatly between what is authorized in the table of organization and equipment (TO&E) and what is doctrinally described in the current field manual guiding combat and operational stress control operations. We therefore explore the evolution of the COSC detachment, compare the organizations found in current doctrine with that currently authorized on the TO&E, and conclude with a proposed structure of a modern COSC detachment that is functionally modular with more clear chains of command.",1,22
23,"de Vries, J. D., et al. (2018"," ""Trajectories of well-being during an exercise randomized controlled trial: The role of exposure and exercise experiences."" Stress and health : journal of the International Society for the Investigation of Stress 34(1","We examined how process factors were related to the development of various indicators of well-being during the course of an exercise randomized controlled trial aimed at reducing fatigue among university students. We investigated (a) whether actual exposure to the exercise sessions was related to differences in students' trajectories of well-being, (b) the minimally required exposure to exercise needed before well-being started to differ between the intervention and control condition, and (c) whether exercise experiences (enjoyment and detachment) were related to differences in well-being trajectories. University students with high levels of fatigue were randomly allocated to a 6-week exercise intervention (n = 50) or wait list (n = 49). All participants were measured before, 5 times during, and at the end of the intervention period. Multilevel analyses showed that exercisers with high exposure showed an increase in self-efficacy whereas those with low exposure did not. Effects of exercise on well-being became visible after 2 to 4 weeks during the intervention period and (partly) depended on the extent of psychological detachment. We recommend that both outcomes and process factors throughout the intervention period should be measured in order to better understand ""when"" and ""under what conditions"" an exercise intervention works.",1,23
24,"DeArmond, S., et al. (2014"," ""Workload and procrastination: The roles of psychological detachment and fatigue."" International Journal of Stress Management 21(2","In the present study, the self-control and recovery/detachment research literatures are integrated to explore the connection between workload and procrastination. We tested a conceptual model that draws heavily from the stressor-detachment model (Sonnentag, 2011), and represents one of the first empirical tests of this model. We hypothesized that psychological detachment would both mediate and moderate the relationship between workload and fatigue and that fatigue would mediate the relationship between psychological detachment and procrastination. We tested the hypothesized model by surveying 547 working adults at 3 points in time over a 2-month period. Psychological detachment fully mediated the relationship between workload and fatigue; psychological detachment did not moderate this relationship. Fatigue partially mediated the relationship between psychological detachment and procrastination. Further, workload was indirectly related to procrastination 2 months later through relationships with psychological detachment and fatigue. These findings suggest that occupational stressors are related to procrastination and that this relationship can be partially explained by psychological detachment and fatigue. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1,24
25,"Dettmers, J. (2017"," ""How extended work availability affects well-being: The mediating roles of psychological detachment and work-family-conflict."" Work & Stress 31(1","Studies have identified availability for work during non-work time as a widespread demand that is related to impaired well-being. Whereas existing research results are based on cross-sectional designs, the present study applied a three-wave longitudinal design to improve interpretations of the direction and causation of the effects of extended work availability. In addition, this study investigated mediating processes such as the reduction of psychological detachment and the increase in work-to-family conflict (WFC). A total of 416 people responded to an online survey at three measurement points, with a time lag of 2 months between each survey, to assess the organisational expectations of being available during one’s off-job time as well as psychological detachment, WFC and emotional exhaustion. The results of structural equation modelling indicated that extended work availability is associated with increases in emotional exhaustion over time. A mediation analysis revealed that WFC and psychological detachment mediated this effect. The results of this study provide strong evidence that extended work availability negatively affects employee well-being over time. Furthermore, this study contributes to an explanation of the mediating process of the detrimental effect. This finding can be used for health-related interventions in cases where extended work availability cannot be completely avoided. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",1,25
26,"Dörfel, D., et al. (2014"," ""Common and differential neural networks of emotion regulation by Detachment, Reinterpretation, Distraction, and Expressive Suppression: A comparative fMRI investigation."" NeuroImage 101: 298-309.","Emotions are an indispensable part of our mental life. The term emotion regulation refers to those processes that influence the generation, the experience and the expression of emotions. There is a great variety of strategies to regulate emotions efficiently, which are used in daily life and that have been investigated by cognitive neuroscience. Distraction guides attention to a secondary task. Reinterpretation, a variant of cognitive reappraisal, works by changing the meaning of an emotional stimulus. Detachment, another reappraisal strategy, refers to distancing oneself from an emotional stimulus, thereby reducing its personal relevance. Expressive Suppression modifies the behavioral or physiological response to an emotional stimulus. These four strategies are not equally effective in terms of emotion regulation success and have been shown to partly rely on different neuronal systems. Here, we compare for the first time the neural mechanisms of these typical strategies directly in a common functional magnetic resonance imaging (fMRI) paradigm of downregulation of negative emotions. Our results indicate that three of those strategies (Detachment, Expressive Suppression and Distraction) conjointly increase brain activation in a right prefronto-parietal regulation network and significantly reduce activation of the left amygdala. Compared to the other regulation strategies, Reinterpretation specifically recruited a different control network comprising left ventrolateral prefrontal cortex and orbitofrontal gyrus and was not effective in downregulation of the amygdala. We conclude that Detachment, Distraction and Expressive Suppression recruit very similar emotion regulation networks, whereas Reinterpretation is associated with activation of a qualitatively different network, making this regulation strategy a special one. Notably, Reinterpretation also proved to be the least effective strategy in neural terms, as measured by downregulation of amygdala activation. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1,26
27,"Ebert, D. D., et al. (2015"," ""Restoring depleted resources: Efficacy and mechanisms of change of an internet-based unguided recovery training for better sleep and psychological detachment from work."" Health Psychology 34(Suppl","Objective: This randomized controlled trial evaluated the efficacy of an Internet-based intervention, which aimed to improve recovery from work-related strain in teachers with sleeping problems and work-related rumination. In addition, mechanisms of change were also investigated. Methods: A sample of 128 teachers with elevated symptoms of insomnia (Insomnia Severity Index [ISI] ≥ 15) and work-related rumination (Cognitive Irritation Scale ≥ 15) was assigned to either an Internet-based recovery training (intervention condition [IC]) or to a waitlist control condition (CC). The IC consisted of 6 Internet-based sessions that aimed to promote healthy restorative behavior. Self-report data were assessed at baseline and again after 8 weeks. Additionally, a sleep diary was used starting 1 week before baseline and ending 1 week after postassessment. The primary outcome was insomnia severity. Secondary outcomes included perseverative cognitions (i.e., work-related rumination and worrying), a range of recovery measures and depression. An extended 6-month follow-up was assessed in the IC only. A serial multiple mediator analysis was carried out to investigate mechanisms of change. Results: IC participants displayed a significantly greater reduction in insomnia severity (d = 1.37, 95% confidence interval: 0.99–1.77) than did participants of the CC. The IC was also superior with regard to changes in all investigated secondary outcomes. Effects were maintained until a naturalistic 6-month follow-up. Effects on insomnia severity were mediated by both a reduction in perseverative cognitions and sleep effort. Additionally, a greater increase in number of recovery activities per week was found to be associated with lower perseverative cognitions that in turn led to a greater reduction in insomnia severity. Conclusions: This study provides evidence for the efficacy of an unguided, Internet-based occupational recovery training and provided first evidence for a number of assumed mechanisms of change. (PsycINFO Database Record (c) 2018 APA, all rights reserved)",1,27
