X,authors,title,abstract,Included,ID
11,"Artemova, O. and A. V. Korotayev (2003",Monopolization of information and female status: A cross-cultural test.,"The world-wide cross-cultural tests performed in this paper support the hypothesis that monopolization of politically important information is inversely related with female status. Monopolization of politically important information displays a significant negative correlation with such important characteristics of female status as female leadership posts in kinship or extended family units, female ownership or control of dwellings, high value of female life, absence of a double standard in regard to extramarital sex, absence of physical punishment of wives, and absence of belief that women are generally inferior to men. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1,11
12,"Askun, D. and B. Ataca (2007",Sexuality related attitudes and behaviors of Turkish university students.,"In this study, sexual attitudes and behaviors of Turkish university students were explored by taking many influential agents both at the distal and the proximal levels into consideration. A total of 563 students from three universities located in three cities completed a questionnaire that assessed their virginity status, first intercourse, sexual permissiveness, pornography usage, endorsement of traditional sexual double standards, and the perception of parental attitudes about sexuality. The results showed that women and students from rural areas were more traditional and conservative in their attitudes and behaviors regarding sexuality. The perception of maternal restriction about sexuality was related to sexual conservatism, negative affective reaction at first coitus, and endorsing traditional sexual double standards. The results are discussed in terms of various degrees of influences originating from proximal and distal variables in the Turkish context. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",1,12
13,"Aubrey, J. S. (2004",Sex and Punishment: An Examination of Sexual Consequences and the Sexual Double Standard in Teen Programming.,"A content analysis was conducted to examine sexual consequences on teen programming. The sample consisted of prime-time television dramas that featured characters between the ages of 12 and 22 years. Two major goals guided the study. First, the types of sexual consequences in teen programming were investigated. Results showed that emotional and social consequences far outnumbered physical consequences. Second, the portrayal of the sexual double standard was investigated. Negative consequences were more common in scenes in which female characters initiated sexual activities than in scenes in which male characters initiated sexual activities. Implications for future content analyses and media-effects research are discussed. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1,13
14,"Axinn, W. G., et al. (2011",Gender double standards in parenting attitudes.,"This paper investigates the double standard in attitudes toward courtship and family formation behaviors of sons and daughters. We argue there are strong theoretical reasons to expect that the magnitude of this double standard varies across substantive domains, as well as among parents and non-parents. We also argue key methodological limitations of previous studies likely produce an under-estimate of the gender double standard. We provide empirical estimates of the gender double standard that overcome these limitations, including a random-assignment experiment explicitly designed to control the effects of social desirability. These estimates demonstrate variability in the double standard across domains and reveal key factors contributing to the magnitude of the double standards in parenting attitudes held by individuals. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",1,14
15,"Bailey, W. C., et al. (1987","Relation of sex and gender role to love, sexual attitudes, and self-esteem.","One theory of love (J. A. Lee, The Colors of Love: An Exploration of the Ways of Loving, Don Mills, Ontario: New Press, 1973) assumes at least six different attitudinal orientations toward love. Based on Lee's approach, recent research (e.g., C. Hendrick & S. Hendrick, ""A Theory and Method of Love,"" Journal of Personality and Social Psychology, 1986, 50, pp. 392-402) has found consistent sex differences in love attitudes. Other research has found comparable sex differences in sexual permissiveness and other sexual attitudes. The present study explored the possibility that gender role orientation might be related to differences in love and sexual attitudes. A sample of 286 college students completed the Bem Sex Role Inventory (BSRI), Love Attitudes Scale, Sexual Attitudes Scale, and the Rosenberg Self-Esteem Scale. Correlational analyses revealed many significant associations among love and sexual attitudes, self-esteem, and masculinity and femininity. Subjects were also classified according to gender role as androgynous, masculine, feminine, or undifferentiated, according to BSRI scores. Analyses of variance showed effects for both sex of subjects and gender role orientation on several of the dependent measures. The pattern of the results suggested that sex-stereotyped couples may have difficulties in romantic relationships because of the discrepancies in their love and sexual attitudes. An argument was made in support of the recent trend toward a multidimensional concept of gender role orientation. Â© 1987 Plenum Publishing Corporation.",1,15
16,"Bajos, N., et al. (2013",Normative tensions and women's contraceptive attitudes and practices in four African countries.,"Conventional analyses of the obstacles to contraceptive use in Africa focus on the social value attributed to high fertility, the fear of side effects and problems of accessing contraception. This article studies the range of situations that can lead to unplanned pregnancy and aims to identify the social rationales that foster such situations. Two hundred semi-structured interviews were conducted in 2006-2007 in the capitals of Burkina Faso, Ghana, Morocco and Senegal as part of the survey on Emergency Contraception in Africa (ECAF). The analyses reveal that simultaneously trying to observe reproductive and sexual norms - in which a double standard prohibits premarital sex for young women while endorsing the primacy of male sexual pleasure - leads to unprotected or poorly protected intercourse. While the factors are relatively similar in the four countries, the rigidity of the norms in question differs from one to another, notably with regard to premarital sexuality. Finally, the question of effective contraceptive use goes far beyond the issue of Â«unmet needsÂ», a central concept in the literature which focuses on non-use of contraception. Â© I.N.E.D. Tous droits rÃ©servÃ©s pour tous pays.",1,16
17,"Balanko, S. L. (2003",Emancipatory sexuality education: An exploration of young women's perceptions of their sexuality and sexuality education influences.,"This research aimed to: provide young women with emancipatory feminist sex education, explore quantitatively and qualitatively young women's perceptions of their sexuality and sex education influences, and expand our understanding of female sexuality. These purposes were achieved through the administration of a 6-week sexuality education curriculum to two groups of university women (ages 19-24) within a delayed-treatment experimental design with short-term follow-up. The Our Whole Lives (OWL): Sexuality Education Curriculum for Grades 10-12 (Goldfarb & Casparian, 2000) and Adults (Kimball, 2000) were used in this research. Guided by Feminist Standpoint Theory (Hartsock, 1998) and naturalistic inquiry (Guba & Lincoln, 1982), quantitative survey methods and qualitative interviews and observational field notes were the data collection methods. It was hypothesized that at posttest and follow-up participants would exhibit more sexual assertiveness, less acceptance of rape/coercion myths, less acceptance of the sexual double standard, and greater acknowledgment of their sexual desire than at pretest. It was also hypothesized that, at posttest, participants who received sexuality education would differ significantly from those waiting for the education on measures of: sexual assertiveness, endorsement of sexual coercion/rape myths, acceptance of the sexual double standard, and sexual desire. There were several statistically significant results, and the quantitative and qualitative findings converged. First, participants became less interested in being sexual with a partner, but more interested in being sexual with themselves. The consciousness-raising objectives were achieved, and participants became more open to masturbation, sexual diversity, and sexuality and spirituality. Participants emerged more self-reflective, self-aware, and self-accepting. As participants were self-reflective and self-disclosing during the program, they also began to re-evaluate their sexuality and sometimes re-defined themselves. Generally, participants became more self-focused as a result of their participation. Finally, contrary to expectation, participants' attitudes toward the sexual double standard were unchanged, and they were not any less concerned with body image issues and reputation concerns. Apparently, young women can experience positive outcomes from short-term sexuality education. Now it is time to advocate for widespread implementation and evaluation of emancipatory sexuality education with a range of contexts and participants. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1,17
18,"Bareket, O., et al. (2018",The madonna-whore dichotomy: Men who perceive women's nurturance and sexuality as mutually exclusive endorse patriarchy and show lower relationship satisfaction.,"The Madonna-Whore Dichotomy (MWD) denotes polarized perceptions of women in general as either ""good,"" chaste, and pure Madonnas or as ""bad,"" promiscuous, and seductive whores. Whereas prior theories focused on unresolved sexual complexes or evolved psychological tendencies, feminist theory suggests the MWD stems from a desire to reinforce patriarchy. Surveying 108 heterosexual Israeli men revealed a positive association between MWD endorsement and patriarchy-enhancing ideology as assessed by Social Dominance Orientation (preference for hierarchical social structures), Gender-Specific System Justification (desire to maintain the existing gender system), and sexist attitudes (Benevolent and Hostile Sexism, Sexual Objectification of Women, and Sexual Double Standards). In addition, MWD endorsement negatively predicted men's romantic relationship satisfaction. These findings support the feminist notion that patriarchal arrangements have negative implications for the well-being of men as well as women. Specifically, the MWD not only links to attitudes that restrict women's autonomy, but also impairs men's most intimate relationships with women. Increased awareness of motives underlying the MWD and its psychological costs can help practice professionals (e.g., couple therapists), as well as the general public, to foster more satisfying heterosexual relationships. (PsycINFO Database Record (c) 2019 APA, all rights reserved)",1,18
19,"Barron, S. R. (2011","Perceptions of sexual coercion: Understanding the role of gender, intimacy, and alcohol use.","Sexual coercion is a prevalent problem in college dating relationships. While considerable research has examined variables related to sexual coercion, few studies have explicitly examined college students' perceptions of these variables or the way in which variables interact to influence perceptions. In addition, while the notion of a sexual coercion 'double standard' is not new, it has only recently received attention in sexual coercion research within college samples. This study further examined college students' perceptions of sexually coercive dating situations by differentiating the ways in which several variables of interest interact and influence participants' judgment regarding coerciveness. Variables examined included sexual precedence (established vs. absent), alcohol intoxication (victim vs. perpetrator), and gender of the victim (male vs. female). These variables were selected based on both their demonstrated importance in previous research regarding sexual coercion, as well as the paucity of research specifically examining the gender of the victim and its relationship to the other variables of interest. In addition, this study explored differences between male and female participants' perceptions of coercion. Results from 310 participants revealed significant two and three-way interactions. General findings suggest that under certain conditions men and women have similar perceptions of coerciveness. This finding is believed to be important as it is contrary to prior research indicating women tend to perceive situations more coercively than men (Banka, Caraway, Struckman-Johnson & Granaas, 2007). Interactions also revealed that female participants rated the level of coerciveness similarly regardless of whether the victim was male or female. Alternately, male participants rated vignettes significantly lower in coerciveness when the victim was portrayed to be a male. This study also found that when the perpetrator was portrayed as intoxicated, participants did not differ in perceptions of coerciveness regardless of whether the victim was male or female. However, when the victim was portrayed as intoxicated, participants found the vignettes significantly more coercive when a female was portrayed as the victim. These findings are believed to provide indirect evidence of a double standard in sexual coercion and suggest that, compared to women, men may adhere more strongly to traditional beliefs regarding sexual violence. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1,19
20,"Bauman, K. E. and R. R. Wilson (1976",Premarital sexual attitudes of unmarried university students: 1968 vs. 1972.,"Information on premarital sexual attitudes (Reiss's Premarital Sexual Permissiveness Scale) of unmarried White undergraduates was obtained from random samples on the same campus in 1968 and 1972. Students in 1972 ( n = 107 males and 68 females), compared with those in 1968 ( n = 98 males and 88 females), reported (a) more permissive attitudes toward premarital sexual behavior (both men and women), (b) fewer differences in attitudes between men and women, and (c) less adherence to the ""double standard."" In contrast to earlier research on premarital sexual attitudes, these differences need not be due to the markedly different populations compared, or generalizable only to sociology and psychology students, or indicative of only those who chose to volunteer for study (volunteer bias). (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1,20
21,"Bay-Cheng, L. Y. and A. N. Zucker (2007","Feminism between the sheets: Sexual attitudes among feminists, nonfeminists, and egalitarians.","To better understand the relation of feminist identification to sexuality, the authors compared the attitudes of feminist, egalitarian, and nonfeminist undergraduate women (N = 342) in five domains: (a) erotophilia (one's positive affective or evaluative responses to sexual stimuli), (b) sexual assertiveness, (c) perceived self-efficacy for safer sex, (d) sexual satisfaction, and (e) support of the sexual double standard. Significant results of ANOVA analyses included: Feminists were more erotophilic than egalitarians and nonfeminists, egalitarians were the most confident in their ability to be assertive with a partner regarding condom use, and egalitarians and nonfeminists were more supportive of a traditional sexual double standard than feminists. Consistent with Zucker (2004), the authors argue that a distinctive characteristic of egalitarians is that their acceptance of feminist values with regard to their own sexual lives does not translate into a critique of gendered sexual norms for other women. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1,21
22,"Bernache-Baker, B. (1987",The sexual attitudes and behavior of private and public school students: a comparative study.,"This study reports the results of a questionnaire and interview-based study designed to test the often-stated claims of college preparatory schools, i.e., ""prep schools"" that, along with a high-quality education, they also instill a superior system of values than is possible in a public school. Comparisons are made between ""preppies"" and college-bound public school students in terms of sexual attitudes and behavior as well as with the earlier studies of Kinsey, Pomeroy et al., Sorensen, and Haas. The results indicate that, even when measured by the standards of the schools themselves, preppies rank lower in many areas, especially attitudinal, than their public school counterparts. Despite the enormous amount of faculty energy expended to prevent it, the sexual activity of the prep school student, both in amount and degree of sophistication, is significantly greater than is found in public school students. Further, in terms of sex-related drug use, exploitiveness, female self-image, homophobia and sexism, preppies do not compare favorably with public school students. Hypotheses are advanced to account for the differences detected and suggestions made for future research. It is also suggested that the research technique used in this study has great potential for future study of adolescent sexual attitudes and behavior that, in the past, have been extremely difficult to perform. This study reports the results of a questionnaire and interview-based study designed to test the often-stated claims of US college preparatory schools, (prep schools) that, along with a high-quality education, they also instill a superior system of values than is possible in a public school. Comparisons are made between ""preppies"" and college-bound public school students in terms of sexual attitudes and behavior as well as with the earlier studies of Kinsey, Pomeroy, Sorenson, and Haas. The results indicate that, even when measured by the standards of the schools themselves, preppies rank lower in many areas, especially attitudinal, than their public school counterparts. Despite the enormous amount of faculty energy expended to prevent it, the sexual activity of the prep school student, both in amount and degree of sophistication, is significantly greater than is found in public school students. Further, in terms of sex-related drug use, exploitiveness, female self-image, homophobia and sexism, preppies do not compare favorably with public school students. It is possible that the significantly higher degree of homophobia shown by preppie males is related to the strong homosexual overtones that may be associated with all-male prep schools and dormitories. If the preppie males were significantly less supportive of equal rights for all regardless of gender, they may perceive females to be unworthy of equal rights and perhaps categorize them as belonging to a group available for exploitation, be it sexual, economic or otherwise. Consistent with the feminist hypothesis is that prep school graduates were significantly less supportive of ""feminism and equal rights for all regardless of gender"" than were public school graduates, and that preppies reported higher family income than that of public school graduates.",1,22
23,"Bishop, P. D. and A. Lipsitz (1992",Sexual behavior among college students in the aids era:A comparative study.,"The sexual behavior of a 1988 midwestern college sample was compared to a highly similar 1982 sample to determine the impact of the AIDS epidemic. Contrary to expectations, sexual activity increased over the six-year period. More students in the 1988 sample had engaged in intercourse. They had also had more partners for intercourse and more lifetime intercourse experience. Age of first intercourse remained unchanged, however. Altitudes for both sexes became more permissive and males also perceived their parents to have become more permissive. A continuing double-standard was suggested. There were increases in contraceptive frequency, in contraception at last intercourse, and use of more sophisticated contraceptive methods. Increased condom use did not appear to be AIDS-induced, as there was no increase in use from first to last intercourse. Students sexual, contraceptive, and verbal behavior suggested no obvious concern about AIDS. Â© Taylor Â© Francis Group, LLC.",1,23
24,"Bliss, B. A. (2014",Is it still a sexual offense if society doesn't find it offensive? cultural constructions and rape proclivity.,"Because rape statistics on college campuses remain shockingly high, prevention of rape is crucially important. However, in order to prevent rape, individuals must first understand the factors that influence a person's likelihood to rape (i.e. a person's rape proclivity). Cultural constructions of rape, sexuality, and gender roles contribute to the continued prevalence of rape in our society. The current study utilized a sample of 153 undergraduate students to examine the relationships between belief in the sexual double standard, rape myth acceptance, and rape proclivity. Primary results indicated that belief in the sexual double standard is positively correlated with male rape proclivity but negatively correlated with female rape proclivity. Rape myth acceptance is positively correlated with the likelihood to rape in both men and women. Men are more likely to believe in the sexual double standard, accept rape myths, and endorse the likelihood to rape. These results suggest that rape prevention strategies should employ education to decrease a person's belief in the sexual double standard and rape myths. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1,24
25,"Boone, T. L. and E. S. Lefkowitz (2004",Safer Sex and the Health Belief Model: Considering the Contributions of Peer Norms and Socialization Factors.,"The goal of the present study was to build on the Health Belief Model (HBM) by adding predictors of late adolescent safer sex behavior: perceptions of peer norms for sexual behavior, and sexual attitudes that emerge from socialization. Sexually active, late adolescent college students (N = 154, 62.3% female; mean age 20.8 years, 76% European American) participated in the study. Predictors from the original HBM included perceived vulnerability, condom use self-efficacy, and attitudes about condoms. In addition, peer norms for condom use and sexual behavior, general sexual attitudes, and endorsement of the sexual double standard were included as predictors of safer sex behavior. Attitudes about condoms, perceived vulnerability, condom use self-efficacy, and the sexual double standard emerged as significant correlates of condom use. General sexual attitudes and the sexual double standard were significantly correlated with alcohol use before or during sex. With the addition of these variables, the regression models accounted for 28% of the variance in condom use, and 14% of the variance in alcohol use before or during sex. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1,25
26,"Boratav, H. B. and A. Çavdar (2012",Sexual stereotypes and practices of university students in Turkey.,"This article is based on a study of young people and sexuality in Turkey. The focus of this study included messages about sexuality, sexual beliefs, sexual experiences with a view to consent and resistance, religiosity, and certain interrelations therein. A total of 471 students (273 women, M age = 20.5 years, and 198 men, M age = 21 years) from four different universities in Turkey participated in a survey with measures of restrictive and permissive messages about sexuality received from various sources, beliefs about sexual roles of men and women in relationships, and questions about a range of sexual experiences, including coital and non-coital. The incidence and characteristics of ideal sexual partnership and incidence and dynamics of experiences involving ""token resistance"" and ""consent to unwanted sex"" were specifically investigated. The results provided a snapshot of the sexual lives of students in this country at the crossroads of secularism and traditional Muslim mores. Both commonalities and differences were found across gender. Both men and women received more restrictive than permissive messages. The most important message source was same-sex friends for men and parents for women. Men had more dating and sexual partners than women. The correlations of religiosity and messages with sexual experiences and attitudes were mostly in the expected direction. Women were more likely to have a token resistance incidence and both genders were equally unlikely to consent to unwanted sex. The results were discussed in relation to the cultural context and the relevant literature, and recommendations are offered for future research. Â© 2011 Springer Science+Business Media, LLC.",1,26
27,"Boyer, C. and M. Galupo (2015",Attitudes toward individuals in same-sex and cross-sex encounters: Implications for bisexuality.,"This research utilizes an experimental design to investigate how participants view individuals engaging in same-sex and cross-sex casual sexual encounters, in terms of promiscuity and appropriateness. The study included 348 participants, all between ages 18 and 25 years, who were randomly assigned to one of four vignettes. Consistent with the double standard for sexual behavior, results indicated significant differences in appropriateness ratings for gender, where men's cross-sex casual sexual encounters were rated as more appropriate than those of women. In contrast, no gender differences emerged for same-sex sexual behaviors for appropriateness and promiscuity. Discussion focuses on the implications of these findings for bisexual individuals. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1,27
