key,title,abstract,keywords,authors,year,url,Included,ID
11,Theory of mind in patients with schizophrenia: Is mentalizing delayed?,"Objective: Functional imaging studies have used numerous neurocognitive designs to investigate brain activation during theory of mind (ToM) tasks in patients with schizophrenia. The majority of studies asks participants to retrospectively attribute mental states to others. We used a novel animated task to investigate implicit mentalizing online. Because behavioral studies have revealed slower ToM performance reaction times in patients with schizophrenia, we hypothesized that time would influence functional MRI (fMRI) activation patterns also. Methods: We applied the \Moving Shapes\' paradigm",which involves two interacting triangles,Pedersen A and Koelkebeck K and Brandt M and Wee M and Kueppers KA and Kugel H and Kohl W and Bauer J and Ohrmann P,,,0,11
12,Simulation and Web-based learning increases utilization of Bier block for forearm fracture reduction in the pediatric emergency department,"Objectives: Bier block (BB) is a safe and effective alternative to procedural sedation for analgesia during forearm fracture reductions, yet remains infrequently used in the pediatric emergency department (PED). No standardized methods of BB training have previously been described. The objective of this study was to determine whether a multimodal instructional course increases comfort with BB and translates to increased use of this technique. Methods: A novel interdisciplinary simulation and Web-based training course was developed to teach the use of BB for forearm fracture reduction at a tertiary PED. Participants were surveyed pre-/post-training, and at 2 and 6 months regarding their comfort with BB. In parallel, we prospectively assessed the clinical use of BB for children ages 6 to 18 years requiring closed reduction of forearm fractures during the 24-month post-course period. Results: Course participation included 26 physicians and 12 nurses. Survey response rate was 100%. Course participation increased both comfort (10% pre-training v. 89% post-training, p<0.001) and the willingness to use BB (51% pre-training v. 95% post-training, p<0.001), an effect sustained at 6 months post-course (66% and 92%, respectively, p<0.001 for both). In clinical practice, there were no BBs performed prior to course administration. We observed a consistent and sustained increase in clinical use among the BB-trained physicians, with 37% of all forearm reductions performed using BB at 24 months post-course completion. Conclusions: A novel combined simulation and Web-based training course increased comfort and willingness to use BB and was associated with increased use of this technique for forearm fracture reduction in the PED.","intravenous regional anesthesia; lidocaine; procedural sedation; INTRAVENOUS REGIONAL ANESTHESIA; PATIENT DATA METAANALYSIS; UPPER-EXTREMITY INJURIES; KETAMINE SEDATION; CPR PERFORMANCE; ADVERSE EVENTS; 8,282 CHILDREN; PREDICTORS; MAINTAIN; Emergency Medicine; Emergency Medicine; Video Meta Results Raw",Burstein B and Fauteux-Lamarre E and Cheng A and Chalut D and Bretholz A,,,0,12
13,Sex-related structural differences in language areas of the human brain and their implications for intergroup relations in ancestral groups,"In his research on the bilingual brain, Hagen (2008) shows adult learners' foreign language achievement variability and universal success of language acquisition by children as the reflections of minimal intergroup and maximum intragroup contact in our ancestral societies. However, his arguments are criticized by Hirschfeld (2008) who states that the capacity of children to acquire multiple languages before the critical period, without a negative effect on first language acquisition, signals the availability of intergroup contact in prehistoric hunter-gatherer societies. He argues that groups achieved peaceful intergroup contact through marriage or sustained long distance trade. In this study, I consider the argument between Hagen (2008) and Hirschfeld (2008) with an emphasis on sex-related structural differences in the language areas of the brain and their implications for the dynamics of ancestral inter-group interaction. Within the context of the male warrior hypothesis, the current study hypothesizes that these differences could be because of minimum intergroup interaction (minimum second or foreign language exposure) that males in our ancestral societies had and relatively more inter-group interaction that females were exposed to than males. (C) 2013 Elsevier Ltd. All rights reserved.",Video Meta Results Raw,Guvendir E,,,0,13
14,Shared and Distinct Neural Bases of Large- and Small-Scale Spatial Ability: A Coordinate-Based Activation Likelihood Estimation Meta-Analysis,"Background: Spatial ability is vital for human survival and development. However, the relationship between large-scale and small-scale spatial ability remains poorly understood. To address this issue from a novel perspective, we performed an activation likelihood estimation (ALE) meta-analysis of neuroimaging studies to determine the shared and distinct neural bases of these two forms of spatial ability. Methods: We searched Web of Science, PubMed, PsycINFO, and Google Scholar for studies regarding \spatial ability\' published within the last 20 years (January 1988 through June 2018). A final total of 103 studies (Table 1) involving 2",085 participants (male = 1,Li Y and Kong F and Ji M and Luo Y and Lan J and You X,,,0,14
15,DO WE EVALUATE PROPERLY TO OUR MEDICAL SCHOOL STUDENTS?,"Introduction: Health education requires compilation of knowledge, skills, attitudes and values needed to train future professionals. It is necessary to establish an appropriate educational process based on skills and strategies for a further comprehensive assessment of the skills acquired. The Objective Structured Clinical Examination (OSCE) is a test designed to assess clinical competencies. The originality to change this evaluation method is to reflect the importance of learning what takes place during the assessment and not just only what students know that will be evaluated. The power of this test is due to the mix of assessment methods, so it is able to explore enough three of the four levels of the pyramid Miller: knowledge, know-how and show-how. The teacher can see the students interacting with patients to assess their clinical skills, thinking skills, problem solving skills, integrating diagnosis and communication and interpersonal skills, i.e., a comprehensive assessment which requires professionalism. Objectives: To launch a new competency evaluation methodology: the Objective Structured Clinical Examination (OSCE) and compare the results with those obtained by the same students in a traditional evaluation short test and multiple choice questionnaires. Material and Methods: After carrying out a program of educational innovation in the Subject: Pediatrics \Clinical Practice\' (structured clinical rotation",practical content in a virtual classroom and simulation seminars) a systematic review of competency assessment (OSCE) was performed. The design of the test was developed by the staging of a series of ten simulated clinical scenarios that reflects actual practice,Pino Vazquez A and Gonzalez Garcia H and Coco Martin MB and Mayo Iscar A and Cuadrado Asensio R and Villa Francisco C and Lopez Miguel A and Urbaneja Rodriguez E and Medina Perez C and Maldonado Lopez MJ and Rellan Rodriguez S and Martinez Sopena MJ and Alvarez Guisasola FJ,,,0,15
16,The effect of video interventions on improving knowledge and treatment compliance in the sexually transmitted disease clinic setting. Lesson for HIV health education,"Eight intervention studies investigating patient education and treatment adherence in the sexually transmitted disease (STD) clinic setting are reviewed. Across the eight studies selected for analysis, meta-analytic procedures were applied to compare the impact of educational and prevention approaches. The effect of video was compared with that of other modes of health education on: 1) knowledge and attitudes about STDs and condoms and 2) treatment compliance, as measured by return for test of cure, drug compliance, premature resumption of sexual activity, and condom coupon redemption rates. The largest effects were those for video on knowledge and attitudes about STDs and condoms, followed by the effects of other non-video interventions on STD knowledge. Lower effects were found among video and non-video interventions targeting treatment compliance outcomes. These results are consistent with prior prevention studies that have demonstrated difficulty in achieving behavior change.",Video Meta Results Raw,Healton CG and Messeri P,,,1,16
17,Introducing the familiarity mechanism: A unified explanatory approach for the personalization effect and the examination of youth slang in multimedia learning,"Several approaches have been used to explain how the personalization effect operates in multimedia messages. This paper aims at unifying these statements in a core concept of familiarity and its influence on social cues. By amplifying the scope of possible forms of personalization, the study explores additionally how youth slang as a new factor of conversation influences learning. Secondary school children (N = 166) were randomly assigned to experimental groups and provided with materials about photosynthesis in two different experiments (audio vs. text message). Each experiment consisted of performance tests and a questionnaire concerning the newly found mechanism of familiarity. The results of each single factor between-subject design show that youth slang fosters learning. Strong effects among transfer task performance (d(1) = 1.19; d(2) = 1.26) confirm the personalization effect. Moreover, the outcomes deliver valid empirical evidence for the proposed familiarity mechanism. These findings are discussed as well as the confirmation of all presumptions for the familiarity mechanism as incorporated in the explanatory approach, resulting in clear theoretical implications and future directions for the field of multimedia learning research. (C) 2014 Elsevier Ltd. All rights reserved.",Video Meta Results Raw,Schneider S and Nebel S and Pradel S and Rey GD,,,0,17
18,A finite element model validates an external mechanism for opening the urethral tube prior to micturition in the female,"Existing theories for micturition in the female mandate total relaxation of the pelvic floor while detrusor pressure pushes the urethra open. However, video X-ray and electromyogram data indicate that micturition is preceded by active outwards opening of the outflow tract by backward-/downward-acting muscle vectors. If the detrusor pressure alone is enough to expand the tube, why does the active opening take place? The aim was to model the urethral tube in detail to assess the relative importance of the active opening mechanism and detrusor pressure. Finite element methods were used to model the urethral tube in detail. Nonlinear-elastic properties similar to urethral component tissues were taken from the literature. The boundary conditions applied to the tube model included internal pressure due to detrusor contraction (60 cm H2O) and various displacements and constraints such as pubourethral and pubovesical ligament attachments. In order to achieve opening dimensions similar to those in the lateral X-ray under the action of detrusor pressure alone, the pressure had to be increased by two orders of magnitude above normal levels. Normal detrusor pressure alone is not sufficient to achieve opening of the urethra against the elasticity of the constituent tissues, suggesting that normal micturition requires an active mechanism provided by backward-/downward-acting pelvic floor muscles, as predicted by the integral theory.",Video Meta Results Raw,Bush MB and Liedl B and Wagenlehner F and Petros P,,,0,18
19,Effects of Art Education on Visual-Spatial Ability and Aesthetic Perception: A Quantitative Review,Utilizes the statistical procedure of meta-analysis in a quantitative review of art education research literature. Discovers that art education is more effective in producing results concerning aesthetic perception than visual-spatial ability. Discusses possible implications of the study and recommends further combination of quantitative and qualitative analysis. (MJP),"ERIC, Current Index to Journals in Education (CIJE); Aesthetic Education; Higher Education; Art Education; Perceptual Development; Sensory Training; Visual Acuity; Educational Objectives; Educational Research; Spatial Ability; Instructional Effectiveness; Educational Assessment; Cognitive Ability; Visual Perception; Meta Analysis; Qualitative Research; Sensory Integration; Statistical Analysis; Program Effectiveness; Video Meta Results Raw",Haanstra F,,,0,19
20,The implications for academic attainment of perceived gender-appropriateness upon spatial task performance,"Affect detection is a key component in intelligent educational interfaces that respond to students' affective states. We use computer vision and machine-learning techniques to detect students' affect from facial expressions (primary channel) and gross body movements (secondary channel) during interactions with an educational physics game. We collected data in the real-world environment of a school computer lab with up to 30 students simultaneously playing the game while moving around, gesturing, and talking to each other. The results were cross-validated at the student level to ensure generalization to new students. Classification accuracies, quantified as area under the receiver operating characteristic curve (AUC), were above chance (AUC of 0.5) for all the affective states observed, namely, boredom (AUC=.610), confusion (AUC=.649), delight (AUC=.867), engagement (AUC=.679), frustration (AUC=.631), and for off-task behavior (AUC=.816). Furthermore, the detectors showed temporal generalizability in that there was less than a 2% decrease in accuracy when tested on data collected from different times of the day and from different days. There was also some evidence of generalizability across ethnicity (as perceived by human coders) and gender, although with a higher degree of variability attributable to differences in affect base rates across subpopulations. In summary, our results demonstrate the feasibility of generalizable video-based detectors of naturalistic affect in a real-world setting, suggesting that the time is ripe for affect-sensitive interventions in educational games and other intelligent interfaces.",Video Meta Results Raw,Bosch N and D'Mello SK and Ocumpaugh J and Baker RS and Shute V,,,0,20
21,"A systematic review of the literature reporting on studies that examined the impact of interactive, computer-based patient education programs","Objective: To evaluate studies that examined the impact of interactive, computer-based education (ICBE) programs on patient education. Methods: The Medline and CINAHL databases were searched to identify randomized controlled studies that evaluated the impact of ICBE programs. Results: The 25 studies that met the selection criteria generally supported the ability of ICBE programs to promote knowledge gains. Results related to economic or clinical Outcomes were less consistent. Significant variations were noted across studies in program features, implementation and integration strategies, and in comparison program attributes and quality. It is likely that these differences contributed to the disparity in findings across studies. Conclusion: Although significant inconsistencies in results were noted, the research provided collective evidence that ICBE programs had the potential to add great value to the patient education process. Programs must be properly designed and implementation and integration processes effectively planned in order to achieve consistently positive outcomes. Practice implications: Consideration of the \best practices\' derived from the research and noted in this report will assist healthcare providers in designing",selecting,Fox MP,,,0,21
22,A Systematic Review of Treatments for Electromagnetic Hypersensitivity,"Background: Electromagnetic hypersensitivity (EHS) is a poorly understood condition in which patients report symptoms following perceived exposure to weak electromagnetic fields (EMFs) such as those produced by mobile phones or visual display units. Little is known about the aetiology of the condition although experimental data suggest that EMFs are an unlikely causal agent. In this systematic review we assessed the efficacy of any treatment for people reporting EHS. Methods: Twelve literature databases were examined to identify relevant studies. We also hand-searched conference proceedings and examined the reference sections of reviews and other papers. Only clinical trials that compared the efficacy of a potential treatment for EHS against a control condition were included in the review. Results: Nine controlled clinical trials were identified, examining the effects of cognitive behavioural therapy (4 studies), visual display unit screen filters (2 studies), 'shielding' EMF emitters (1 study), supplementary antioxidant therapy (1 study) and acupuncture (1 study). The quality of these studies was limited. Nevertheless, their results suggest that cognitive behavioural therapy is more effective than providing no treatment. None of the other therapies have had their efficacy adequately demonstrated. Conclusions: The evidence base concerning treatment options for EHS is limited and more research is needed before any definitive clinical recommendations can be made. However, the best evidence currently available suggests that cognitive behavioural therapy is effective for patients who report being hypersensitive to weak EMFs. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",electromagnetic hypersensitivity; electromagnetic fields; patients report symptoms; visual display units; aetiology; treatment; Acupuncture Therapy; Antioxidants; Clinical Trials as Topic; Cognitive Therapy; Electromagnetic Fields; Environmental Exposure; Humans; Hypersensitivity; User-Computer Interface; Disorders; Electrical Activity; Treatment; Video Display Units; Video Meta Results Raw,Rubin GJ and Das Munshi J and Wessely S,,,0,22
23,Virtual environments for real treatments,Cited By :7 Export Date: 30 January 2020,Video Meta Results Raw,Burstin A and Brown R,,,0,23
24,Are Technology-Based Interventions Effective in Reducing Dental Anxiety in Children and Adults? A Systematic Review,"OBJECTIVES: The aim of this study was to evaluate the effectiveness of technology-based interventions for the treatment of dental anxiety in children and adults. DATA SOURCES: A systematic search using relevant keywords was conducted in PubMed-Medline, EMBASE, PsycINFO, CINAHL, Scopus, and The Cochrane Library. INCLUSION CRITERIA: Randomized controlled trials (RCTs) that compared technology-based interventions with inactive controls in the treatment of moderate to severe dental anxiety were included. RESULTS: A total of seven RCTs were included in the review. These studies investigated the effectiveness of video modeling, computerized cognitive behavioral therapy, virtual reality exposure therapy, and distraction with music and audiovisual video material. Six studies examining video modeling, computerized cognitive behavioral therapy, virtual reality exposure therapy, and distraction (audiovisual) showed significantly greater reductions in dental anxiety than inactive controls in both children and adults. None of the included studies followed Consolidated Standards of Reporting Trials guidelines completely or reported sufficient data, thereby precluding a possible meta-analysis. Four out of seven included studies were assessed to be at high risk of bias. CONCLUSIONS: A limited number of studies supported the effectiveness of technology-based interventions in the treatment of dental anxiety in children and adults. CLINICAL SIGNIFICANCE: The quality of the methods of studies on the effects of technology-based interventions allows only limited inferences on the effects of these interventions. However, within the limitations of the systematic review, the results converge to suggest that technology-based interventions may be useful as an adjunct to standard dental care. High-quality RCTs are needed to determine the (relative) effectiveness of these interventions. PROSPERO REGISTRATION NUMBER: CRD42017064810.","Technology; Therapy; Treatment; dental anxiety; FEAR; PHOBIA; DISTRACTION; EXPERIENCES; PREVALENCE; MANAGEMENT; ATTENDANCE; BEHAVIOR; VIDEO; Dentistry, Oral Surgery & Medicine; Dentistry, Oral Surgery & Medicine; Video Meta Results Raw",Gujjar KR and van Wijk A and Kumar R and de Jongh A,,,0,24
25,The Design of Children's Educational Game Interface: Review of the Literature,"Alongside the development of graphical resolution of computer displays, computer games become a prominent media for educational and recreational purposes. The visual in video games is believed to have a major role in learning, as the learning happens with visual description. Although computer games have been realized as a tool for teaching and learning of complex conceptual subjects, the way how visual design delivers wisdom was remain underexplored. This paper reviews the recent trend of children educational games to obtain an understanding of the multifaceted advantages of visual imageries of computer games. A systematic review over the pool of 200 papers from two established journals in education was conducted. The patterns of how visual design contributes to learning were investigated. The insight from the reviewed papers, subsequently, was analyzed to construct an elaboration on the use of visual computer game design to improve the learning experience.",Video Meta Results Raw,Anugerah YB and Budiyanto CW,,,0,25
26,Effect of different methods of education on oral health in children with hearing impairment: A systematic review,"BACKGROUND AND AIM: The aim of oral health education is to prevent oral diseases. Literature review indicates that oral hygiene is poor in children with hearing impairment. Different methods have been used to teach oral health to children with hearing impairment. This systematic review was undertaken to evaluate the efficacy of different methods of oral health education to improve oral health in children with hearing impairment. METHODS: Two independent researchers searched the Web of Science, PubMed, Scopus, and Cochrane Library databases without language restrictions, and a time limit of up to December 2016. Articles were imported to EndNote software and duplicate articles were removed. Relevant and proper articles were selected after considering the inclusion and exclusion criteria. Quality assessment was carried out, and articles with a score of more than 5 were selected for analysis in the review. RESULTS: Of 453 articles found, 12 were assessed for eligibility based on defined inclusion criteria, and 9 studies were included in the review after quality assessment. Different methods such as video clips and dental models were used to train children. Out of the 9 studies, 8 studies showed a reduction in plaque index, and 4 studies were effective in improving gingival indexes. The results showed that educational intervention was effective in improving oral health. CONCLUSION: Oral health education was effective in improving oral health status in children with hearing impairment without considering the method of education and learning barriers in these children.","Hearing Impairment; Oral Health; Education; Systematic Review; Children; HYGIENE; INSTRUCTION; Dentistry, Oral Surgery & Medicine; Dentistry, Oral Surgery & Medicine; Video Meta Results Raw",Pouradeli S and Rad M and Shahravan A and Hashemipour MA and Rezaeian M,,,0,26
27,"Learning with multimedia: The effects of gender, type of multimedia learning resources, and spatial ability","The purpose of this study was to examine the effect of gender and type of multimedia resource on learning outcomes while controlling for the effect of spatial ability. This study also aimed to investigate the differences in learning outcomes between retention and transfer questions. The independent variables for the study were gender and type of multimedia resources (static versus animated), and the covariate was spatial ability. The dependent variables for the first study goal were learning outcomes measured by performance scores in two procedural learning tasks (functioning of a toilet cistern and a car brake system). The dependent variables for the second study goal were learning outcomes measured by retention and transfer performance scores in the two procedural learning tasks. A total of 245 undergraduate students completed participation online. As anticipated, spatial ability had the most significant overall influence on learning outcomes. Gender differences were also found, even after controlling for spatial ability. The study, however, failed to identify effects of multimedia type in learning outcomes. Male participants consistently outperformed female participants in all learning tasks, regardless of the multimedia type. While the scores from the transfer questions were lower than the scores from retention questions, as expected, this decline was significantly less for males in the car brakes task. This was not the case in the toilet cistern task however, implying a potential subject domain effect. Overall, this study is significant in that it offers empirical evidence of gender effects, separate from spatial ability, when learning with multimedia resources.","Media in education; Informal learning; SEX-DIFFERENCES; MENTAL ROTATION; INSTRUCTIONAL ANIMATION; FLUID INTELLIGENCE; COGNITIVE LOAD; METAANALYSIS; VISUALIZATION; PERFORMANCE; RECOGNITION; TECHNOLOGY; Computer Science, Interdisciplinary Applications; Education & Educational Research; Computer Science; Education & Educational Research; Video Meta Results Raw",Heo M and Toomey N,,,0,27
28,A targeted review of the neurobiology and genetics of behavioural addictions: An emerging area of research,Cited By :68 Export Date: 30 January 2020,Video Meta Results Raw,Leeman RF and Potenza MN,,,0,28
