key,title,abstract,keywords,authors,year,Included,ID
32,Get Fit for Life: Elementary School Group Counseling with a Twist,"A significant number of elementary school-aged children participate in some form of athletic activity. As they become pre-teens, the percentage of these children involved in sports lessens, especially as children begin to recognize differences in athletic abilities. Research assessing youth sports suggests that adults and peers can increase children's levels of motivation to participate in athletics by providing a climate that prioritizes social and emotional development. This article details a psychoeducation group designed by an elementary school counselor to encourage the integration of physical fitness and mental health initiatives that support a healthy lifestyle.",Sports;Only Child;Counseling;Personal Autonomy;Competence;Conflict;Competition;Teamwork;Cooperation;Physical Activities;Parent Participation;Athletic Coaches;Disabilities;Student Motivation;Child Health;Life Style;Physical Health;Mental Health;Health Promotion;Physical Fitness;School Counseling;Elementary School Students,"Springer, Sarah I.",2014.0,0,32
33,Using Online Videos for Disability Awareness,"The increase of inclusive education in the United States has heightened the need for disability awareness among individuals without disabilities. Fostering awareness and openness to different ability levels in the classroom is a skill many educators need to develop. The purpose of this article is to describe how adapted physical educators, as well as general and special educators, can use online videos to develop disability awareness among their students. If used appropriately, online videos can be a powerful way to support disability awareness and they can motivate students to play a more active role in their learning. (Contains 2 tables and 1 figure.)",Physical Education and Training;Special Needs Students;Student Attitudes;Attitudes toward Disabilities;Mainstreaming;Physical Education Teachers;Adapted Physical Education;Web Based Instruction;Computer Uses in Education;Consciousness Raising;Video Technology;Special Education Teachers;Disabilities;Inclusive Schools,"Columna, Luis and Arndt, Katrina and Lieberman, Lauren and Yang, Stephen",2009.0,0,33
34,School-based prevention programs for eating disorders: Achievements and opportunities,"Scarce resources are dedicated to research on school-based prevention programs for eating disorders. Despite this, however, recent years have witnessed an abundance of publications on controlled prevention trials. We now have a cumulative body of knowledge available to guide future developments in the prevention of eating disorders. Medline and PsychInfo were searched for the years 1985-2002 to find relevant publications for this review. Nineteen universal and ten targeted school-based prevention programs were identified and then evaluated. The results obtained by the controlled trials evaluated reassure parents, teachers, and stakeholders in the healthcare sector that school-based eating disorder prevention programs do not have harmful effects on student attitudes and behaviors. Targeted prevention programs have obtained promising results in high-risk individuals. Other positive effects have been obtained using an interactive format. Universal prevention programs have unfortunately been disappointing in their ability to change unhealthy behaviors. Results can be improved by gaining a greater understanding of those risk factors which are most strongly linked to eating disorders and most susceptible to change. A broad range of interventions is needed for further consideration. Promising results from the field of eating disorder prevention and from modern risk factor research could build a new generation of universal prevention trials for eating disorders without the methodological limitations seen in the current literature and with real effectiveness in achieving the goal of reducing the prevalence of eating disorders in the general population.",Eating;Eating Disorders;theory;procedures;teacher;student;stress;social support;social class;skill;self help;school;risk factor;review;race;publication;PsycINFO;prophylaxis;prevalence;parent;onset age;obesity;nutrition;nonhuman;methodology;Medline;medical research;incidence;human;high risk population;health program;health care cost;health behavior;geographic distribution;exercise;eating disorder;disease classification;diet restriction;coping behavior;cognitive therapy;clinical trial;clinical protocol;bulimia;behavior therapy;behavior;attitude;anxiety;anorexia nervosa,"Grave R., Dalle",2003.0,0,34
35,"Education Provision to Every One: Comparing Perspectives from around the World. BCES Conference Books, Volume 14, Number 1","Papers from the proceedings of the 14th Annual Conference of the Bulgarian Comparative Education Society was submitted in two volumes. Volume 1 contains papers submitted at the conference held in Sofia, Bulgaria, June 14-17, 2016. Volume 2 contains papers submitted at the 4th International Partner Conference of the International Research Centre (IRC) ""Scientific Cooperation,"" Rostov-on-Don, Russia. The overall conference theme was ""Education Provision to Every One: Comparing Perspectives from Around the World"" and included six thematic sections: (1) Comparative Education & History of Education; (2) Pre-service and In-service Teacher Training & Learning and Teaching Styles; (3) Education Policy, Reforms and School Leadership; (4) Higher Education, Lifelong Learning and Social Inclusion; (5) Law and Education: Legislation and Inclusive Education, Child Protection & Human Rights Education; and (6) Research Education: Developing Globally Competent Researchers for International and Interdisciplinary Research. The book contains a Preface: ""Bulgarian Comparative Education Society: 25 Years of Being International"" (Nikolay Popov); an Introduction: ""Education Provision to Everyone: Comparing Perspectives from Around the World"" (Lynette Jacobs) and papers divided into the respective thematic sections. Part 1: ""Comparative Education & History of Education"": (1) Jullien: Founding Father of Comparative and International Education Still Pointing the Way (Charl Wolhuter); (2) Presentation of Marc-Antoine Jullien's Work in Bulgarian Comparative Education Textbooks (Teodora Genova & Nikolay Popov); (3) ""Teach Your Children Well"": Arguing in Favor of Pedagogically Justifiable Hospitality Education (Ferdinand J. Potgieter); (4) Theory for Explaining and Comparing the Dynamics of Education in Transitional Processes (Johannes L. van der Walt); (5) Nordic Internationalists' Contribution to the Field of Comparative and International Education (Teodora Genova); (6) International Research Partners: The Challenges of Developing an Equitable Partnership between Universities in the Global North and South (Karen L. Biraimah); (7) Providing Books to Rural Schools through Mobile Libraries (Lynette Jacobs, Ernst Stals & Lieve Leroy); (8) South African Curriculum Reform: Education for Active Citizenship (Juliana Smith & Agnetha Arendse); (9) Universities Response to Oil and Gas Industry Demands in South Texas (USA) and Tamaulipas (Mexico) (Marco Aurelio Navarro); (10) Goals That Melt Away. Higher Education Provision in Mexico (Marco Aurelio Navarro & Ruth Roux); (11) How the Issue of Unemployment and the Unemployed Is Treated in Adult Education Literature within Polish and U.S. Contexts (Marzanna Pogorzelska & Susan Yelich Biniecki); (12) Contribuciones de un Modelo Multiniveles para el Análisis Comparado de Impactos de Políticas Educativas en la Educación Superior (Mirian Inés Capelari) [title and paper are provided in Spanish, abstract in English]; and (13) Internationalization, Globalization and Relationship Networks as an Epistemological Framework Based on Comparative Studies in Education (Amelia Molina García & José Luis Horacio Andrade Lara). Part 2: ""Pre-service and In-service Teacher Training & Learning and Teaching Styles"": (14) The Goals and Conditions of Qualitative Collaboration between Elementary Schools and Community -- A Challenge for the Professional Development (Jana Kalin & Barbara Šteh); (15) South African Heads of Department on Their Role in Teacher Development: Unexpected Patterns in an Unequal System (André du Plessis); (16) Do Teachers, Students and Parents Agree about the Top Five Good Teacher's Characteristics? (Marlena Plavšic & Marina Dikovic); and (17) Personality Traits and Learning Styles of Secondary School Students in Serbia (Gordana Djigic, Snežana Stojiljkovic & Andrijana Markovic). Part 3: ""Education Policy, Reforms & School Leadership"": (18) Routes into Teaching: Does Variety Aid Recruitment or Merely Cause Confusion? A Study of Three Different Programmes for Teacher Training in England (Gillian Hilton); (19) The Status of Teaching as a Profession in South Africa (Corene de Wet); (20) Initial and Continuing Professional Development of Adult Educators from an Educational - Policy Perspective: Rethinking from Croatia (Renata Cepic & Marijeta Mašic); (21) Educational Reform from the Perspective of the Student (Claudio-Rafael Vasquez-Martinez, Felipe Gonzalez-Gonzalez, Jose-Gerardo Cardona-Toro, MaríaGuadalupe Díaz-Renteria, Maria-Ines Alvarez, Hector Rendon, Isabel Valero, Maria Morfin, Miguel Alvarez); (22) Leadership and Context Connectivity: Merging Two Forces for Sustainable School Improvement (Nylon Ramodikoe Marishane); (23) Approaches to In-servicing Training of Teachers in Primary Schools in South Africa (Vimbi P. Mahlangu); (24) Social Justice and Capacity for Self-development in Educational Systems in European Union (Bo-Ruey Huang); (25) Social Justice and Capacity for Self-Development in Educational System in Japan (Yu-Fei Liu); and (26) Emotions in Education Generated by Migration (Graciela Amira Medecigo Shej). Part 4: ""Higher Education, Lifelong Learning & Social Inclusion"": (27) Ambivalent Community: International African Students in Residence at a South African University (Everard Weber An); (28) Internationalization of Higher Education Institutions in Latvia and Turkey: Its Management and Development during the Last Decade (Sibel Burçer & Ilze Kangro); (29) Lifelong Learning: Capabilities and Aspirations (Petya Ilieva-Trichkova); (30) Where Have All the Teachers Gone: A Case Study in Transitioning (Amanda S. Potgieter); (31) An Overview of Engineering Courses in Brazil: Actual Challenges (Alberto G. Canen, Iara Tammela & Diogo Cevolani Camatta); (32) Multiculturalism and Peace Studies for Education Provision in Time of Diverse Democracies (Rejane P. Costa & Ana Ivenicki); (33) Social Inclusion of Foreigners in Poland (Ewa Sowa-Behtane); (34) An Autistic Child Would Like to Say ""Hello"" (Maria Dishkova); (35) Research Approaches for Higher Education Students: A Personal Experience (Momodou M Willan); (36) Social Networks Use, Loneliness and Academic Performance among University Students (Gordana Stankovska, Slagana Angelkovska & Svetlana Pandiloska Grncarovska); and (37) The Personal Characteristics Predictors of Academic Success (Slagana Angelkoska, Gordana Stankovska & Dimitar Dimitrovski). Part 5: ""Law and Education: Legislation and Inclusive Education, Child Protection & Human Rights Education"": (38) An Exploration of the Wider Costs of the Decision by the Rivers State Government in Nigeria to Revoke International Students' Scholarships (Elizabeth Achinewhu-Nworgu & Queen Chioma Nworgu); (39) Strategies for Improving the Employability Skills and Life Chances of Youths in Nigeria (Elizabeth Achinewhu-Nworgu, Steve Azaiki, Shade Babalola & Chinuru Achinewhu); (40) Examining the Role, Values, and Legal Policy Issues Facing Public Library Resources in Supporting Students to Achieve Academic Success (Elizabeth Achinewhu-Nworgu, Steve Azaiki & Queen Chioma Nworgu); (41) Peer Exclusion at Physical Education (Gorazde Sotosek); (42) Exclusion and Education in South Africa: An Education Law Perspective of Emerging Alternative Understandings of Exclusion (Johan Beckmann); and (43) Educational and Social Inclusion of Handicapped Children. Polish Experiences (Anna Czyz). Part 6: ""Research Education: Developing Globally Competent Researchers for International and Interdisciplinary Research"": (44) Observations about Research Methodology during 15 Years of Presenting Capacity-Building Seminars (Johannes L. van der Walt); and (45) Using a Play-Based Methodology in Qualitative Research: A Case of Using Social Board to Examine School Climate (Anna Mankowska). Following the presentation of the complete conference papers, the following abstracts are provided: (1) Project-Based Learning in Polish-American Comparative Perspective (Marzanna Pogorzelska); (2) Teaching and Researching Intervention and Facilitation in a Process of Self-reflection: Scrutinity of an Action Research Process (Juliana Smith); (3) Investigating Perceptions of Male Students in Early Childhood Education Program on Learning Experiences (Ayse Duran); (4) Teacher Professional Development and Student Achievement in Turkey: Evidence from TIMSS 2011 (Emine Gumus & Mehmet Sukru Bellibas); (5) The Usage of CBT and Ayeka Approach at the Kedma School (Yehuda Bar Shalom & Amira Bar Shalom); (6) Factors Affecting Turkish Teachers' Use of ICT for Teaching: Evidence from ICILS 2013 (Mehmet Sukru Bellibas & Sedat Gumus); (7) Application of Big Data Predictive Analytics in Higher Education (James Ogunleye); (8) The Pursuit of Excellence in Malaysian Higher Education: Consequences for the Academic Workplace (David Chapman, Sigrid Hutcheson, Chang Da Wan, Molly Lee, Ann Austin, Ahmad Nurulazam); (9) Challenging the Value and Missions of Higher Education: New Forms of Philanthropy and Giving (Pepka Boyadjieva & Petya Ilieva-Trichkova); (10) The Effects of Major-changing between Undergraduates and Postgraduates on the Major Development of Postgraduates (Jinmin Yu & Hong Zhu); (11) Spotlight on Canadian Research Education: Access of Doctoral Students to Research Assistantships (Ewelina Kinga Niemczyk); (12) Regulation or Freedom? Considering the Role of the Law in Study Supervision (J. P. Rossouw & M. C. Rossouw); (13) The Subjectivity-Objectivity Battle in Research (Gertrude Shotte); and (14) Interdisciplinary Approach to Teaching Chemistry: Electrochemical Biosensors Case Study (Margarita Stoytcheva & Roumen Zlatev). A Name Index is included. (Individual papers contain references.) [For Volume 2, ""Education Provision to Every One: Comparing Perspectives from around the World. BCES Conference Books, Volume 14, Number 2"" see ED568089.]",Cesarean Section;Child;Only Child;Humanities;Humanism;Humans;Foreign Countries;Educational Resources;Teaching Methods;Majors (Students);Private Financial Support;Educational Objectives;Technology Uses in Education;Student Attitudes;Learning Experience;Action Research;Intervention;Student Projects;Active Learning;Research Methodology;Research Skills;Interdisciplinary Approach;Civil Rights;Child Safety;Inclusion;Educational Legislation;Social Integration;Lifelong Learning;Educational Administration;Educational Policy;Teacher Role;Cognitive Style;Teacher Characteristics;Teaching Styles;Inservice Teacher Education;Preservice Teacher Education;Epistemology;Unemployment;Adult Education;Educational Practices;Educational Opportunities;Energy Education;Citizenship;Curriculum Development;Rural Schools;International Educational Exchange;Partnerships in Education;Productivity;International Education;Educational History;Comparative Education;Conferences (Gatherings);Conference Papers,"Popov, Nikolay and Wolhuter, Charl and Kalin, Jana and Hilton, Gillian and Ogunleye, James and Niemczyk, Ewelina and Comparative Education Society (BCES), Bulgarian",2016.0,0,35
36,Constraints and facilitators to participation in physical activity in teenagers with Developmental Co-ordination Disorder: an exploratory interview study.,"Despite their movement difficulties, youngsters with Developmental Co-ordination Disorder (DCD) generally have sufficient capability for physical activity. However, they tend to be less physically active and less physically fit than their well co-ordinated age peers. The aim of this study was to use qualitative research methods to understand which factors constrain and facilitate participation in physical activity in teenagers with DCD, in order to help inform future health promotion programmes.
Semi-structured interviews were conducted with eight teenagers with DCD (aged 13-15) and their parents. The interviews focused on how much physical activity was typically undertaken by the child and the perceived constraints and facilitators to being physically active. Interviews were transcribed and subjected to categorical-content analysis.
Half of the children and all but one of the parents reported that the children did little physical activity. Although most children disliked competitive team games, they reported many physical activities that they did enjoy and they reported wanting to be more physically active. Perceived internal constraints to participation included poor motor skill, lack of motivation and reports of fatiguing easily. Perceived external constraints included difficulty travelling to activities, negative comments from peers and teachers' lack of understanding of DCD.
Reports of low levels of physical activity support previous literature and are a cause for concern for this group. The teenagers expressed the desire to be more active, yet the interviews revealed both personal and environmental constraints to engagement in physical activity. It is clear that these factors interact in a dynamic way and that teachers, schools and communities play an important role in creating a motivational environment for youngsters with DCD to engage in physical activity and learn to maintain an active lifestyle as they move into adulthood.",Sports;Social Environment;Qualitative Research;Parents;Motor Skills Disorders;Motor Skills;Motor Activity;Motivation;Male;Life Style;Interviews as Topic;Humans;Health Promotion;Fatigue;Attitude to Health;Adolescent,"Barnett, A L and Dawes, H and Wilmut, K",2013.0,0,36
37,Determination of school-related problems in children treated for cancer,"This descriptive and case-control study was carried out in a pediatric oncology outpatient clinic to determine the school-related physical, social, and psychological problems and problems experienced in academic achievement of children treated for cancer. The sample of the study consisted of 56 Turkish patients with cancer, aged 7-18 years, who were in remission and attending school as well as their parents, a control group of patients who did not have cancer, and their teachers. A Child Information Form, a Child Health Questionnaire Parent's Form of 50 questions, a Behavior Evaluation Scale for Children, and Young People and a Teacher's Report Form were used as data collection tools in the study. Of the children, 30.3% experienced various physical difficulties stemming from cancer therapy that affected their school life. The number of late enrollments, the number of children repeating a grade, and the rates of school absenteeism were also found to be higher in the survivors than in the controls.",Only Child;Case-Control Studies;Turkey;survivor;student;statistics and numerical data;school;questionnaire;psychology;parent;neoplasm;middle aged;male;human;female;comparative study;child;case control study;behavior disorder;attitude to health;adult;absenteeism,"M.C., Yilmaz and H.Y., Sari and N., Cetingul and M., Kantar and S., Erermis and S., Aksoylar",2014.0,0,37
38,Quality of life (QoL) assessment in children with shwachman diamond syndrome (SDS) by child self-reporting and parent reporting using validated child health questionnaires,"SDS is a heterogenous multisystem disorder often resulting in physical features and systemic symptoms which distinguish individuals from their peer group. Neuro-cognitive impairments have been reported in children with SDS. Methods and patients Using validated child health questionnaires (CHQ-CF87 child, CHQ-PF50 parent) we explored QoL in children with SDS aged 5-18 years (followed at SDS multidisciplinary clinic at Leeds) from their own perspective and from that of their parents. 7 children and 1parent for each child completed the self-administered questionnaires. All data was analysed and interpreted as per the scoring and interpretation manual provided with the questionnaires. Results Quantitative data showed below or average scores in more than 50% of the group in the following health concepts -general behaviour; general health perception; parental impact-emotional and family activities. This indicated poor perception of child's general health, parents experiencing a great deal of worry/concern as a result of child's physical or psychosocial health and child's health interrupted family activities or was a source of family tension. Qualitative analysis revealed that children reported good health although a minority worried about their health. They admitted to difficulty in performing activities which required energy (running etc). A minority expressed difficulties with self care. All children experienced mild pain or discomfort. Most were happy and got on with friends. Though most liked themselves but thought others felt badly about them. Most recognised their health/behaviour caused family conflict or tension. The majority admitted to arguing and not wanting to do what parents/teachers said. The majority of parents worried about their child's health and reported behaviour causing tension or disruption of everyday family activities. Most parents expressed uncertainty about their child having a healthy life. A minority of parents (25%) reported limitation of physical activity, but 50% expressed difficulty with school work or activities with friends due to emotional/behavioural problems. Majority of parents reported their child experiencing pain/discomfort. Difficulty concentrating and paying attention was common as was being argumentative. Our findings identify important qualitative areas of concern and highlight potential areas for providing targeted support to children with SDS and their families.",Child;Only Child;Quality of Life;Questionnaires;Child Welfare;school;physical activity;pain;cognitive defect;patient;hospital;book;qualitative analysis;peer group;family conflict;diseases;self care;friend;health;quality of life;pediatrics;college;parent;Shwachman syndrome;questionnaire;child;child health;human,"A., Silwal and S.E., Kinsey and J., Puntis",2014.0,0,38
39,Health and school performance of teenagers born before 29 weeks gestation,"Objective: To ascertain the health and school performance of teenagers born before 29 weeks gestation (extremely low gestational age (ELGA)) and to compare those in mainstream school with classroom controls. Methods: Three geographically defined cohorts of babies born in 1983 and 1984 were traced at the age of 15-16 years. Their health, abilities, and educational performance were ascertained using postal questionnaires to the teenagers themselves, their parents, their general practitioners, and the teachers of those in mainstream school. Identical questionnaires were sent to classroom controls. Results: Of the 218 teenagers surviving to the age of 16 years, information was obtained on 179. Of these, 29 were in special schools and 150 in mainstream school, 10 of whom had severe motor or sensory impairment. Using the Child Health Questionnaire, parents of teenagers in mainstream school reported a higher incidence of problems than controls in physical functioning (difference in mean scores 9.0 (95% confidence interval (CI) 4.9 to 13.1)) and family life (difference in mean scores for family cohesion 7.0 (95% CI 1.6 to 12.4)). In all areas of learning, teachers rated the ability of the ELGA teenagers in mainstream school lower than the control group. Parents of teenagers in special schools reported a higher rate of problems in most areas. Conclusions: One in six ELGA survivors at age 16 years have severe disabilities and are in special schools. Most ELGA survivors are in mainstream school and are coping well as they enter adult life, although some will continue to need additional health, educational, and social services.",Questionnaires;School Health Services;Pregnancy;Adolescent;teacher;survival rate;social work;scoring system;school;questionnaire;priority journal;pregnancy;physical performance;medical information;medical education;male;major clinical study;intellectual impairment;human;female;family life;disease severity;curriculum;controlled study;confidence interval;cohort analysis;article;adolescent;academic achievement,"A., Johnson and U., Bowler and P., Yudkin and C., Hockley and U., Wariyar and F., Gardner and L., Mutch",2003.0,0,39
40,Chronic disruptive pain in emerging adults with and without chronic health conditions and the moderating role of psychiatric disorders: Evidence from a population-based cross-sectional survey in Canada,"Background and aims There has been a growth in the proportion of emerging adults vulnerable to pain-related sequelae of chronic health conditions (CHCs). Given the paucity of research during this important developmental period, this study investigated the association between CHCs and chronic disruptive pain among emerging adults and the extent to which psychiatric disorders moderate this association. Methods Data come from the 2012 Canadian Community Health Survey – Mental Health (CCHS-MH). This cross-sectional survey included 5987 participants that were 15–30 years of age and self-reported their CHCs (n = 2460, 41%) and the extent to which pain impacted daily functioning using items from the Health Utilities Index Mark 3 (HUI 3). Group comparisons between respondents with CHCs and healthy controls were made using chi-square tests. Odds ratios (OR) and 95% confidence intervals (CI) were computed from ordinal logistic regression models adjusting for sociodemographic covariates. Product-term interactions between CHCs and psychiatric disorders were included in the models to explore moderating effects. All analyses were weighted to maintain representativeness of the study sample to the Canadian population. Results The mean age of participants was 23.5 (SE 0.1) years and 48% were female. Compared to healthy controls, a greater proportion of participants with CHCs reported having chronic pain (20.3% vs. 4.5%, p < 0.001). Among those with chronic pain, respondents with CHCs reported a greater number of activities prevented because of chronic disruptive pain (χ2 = 222.28, p < 0.001). Similarly, in logistic regression models, participants with CHCs had greater odds of reporting chronic disruptive pain (OR = 4.94, 95% CI = 4.08–5.99). Alcohol (β = −0.66; p = 0.025) and drug abuse/dependence disorders (β = −1.24; p = 0.012) were found to moderate the association between CHCs and chronic disruptive pain. Specifically, the probability of chronic disruptive pain was higher for emerging adults without CHCs and with alcohol or drug disorders; however, among participants with CHCs, probability was higher for those without these disorders. Conclusions There is a robust association between CHCs and chronic disruptive pain. The moderating effects suggest that alcohol or drug disorders are especially harmful for emerging adults without CHCs and contribute to higher levels of chronic disruptive pain; however, among those with CHCs, alcohol and illicit drugs may be used as a numbing agent to blunt chronic disruptive pain. Implications Findings from this study have implications for the integration and coordination of services to design strategies aimed at managing chronic disruptive pain and preventing pain-related disabilities later in life. Within the health system, healthcare providers should engage in dialogues about mental health and substance use regularly with emerging adults, be proactive in screening for psychiatric disorders, and continue to monitor the impact of pain on daily functioning. Given the age range of emerging adults, there is tremendous opportunity for clinicians to work cooperatively with colleagues in the education system to support emerging adults with and without CHCs. Overall, clinicians, researchers, educators, and those in social services should continue to be mindful of the complex interrelationships between physical and mental health and chronic disruptive pain and work cooperatively to optimize health outcomes and prevent pain-related disabilities among emerging adults.",Odds Ratio;Logistic Models;Adult;Cross-Sectional Studies;suicidal behavior;self report;priority journal;observational study;mood disorder;mental disease;male;major depression;major clinical study;human;generalized anxiety disorder;female;drug dependence;drug abuse;disease association;cross-sectional study;controlled study;chronic pain;chronic disruptive pain;Canada;bipolar disorder;article;alcoholism;alcohol abuse;adult;adolescent;illicit drug;cannabis;alcohol,"R.A., Qadeer and L., Shanahan and M.A., Ferro",2017.0,0,40
41,Effects of regular exercise vs sedentary after school program on mood and quality of life of overweight children,"Overweight children are at risk for depression, behavior problems, and poor quality of life. Exercise has improved mood and self-worth in several studies of adults and children. However, few studies utilized an attention control condition, or reported quality of life outcomes. 175 overweight children (87% black, 61% female, age 9.7 ± 0.9 yrs, 73% obese) were randomized to an aerobic exercise or sedentary (games and artistic activities) after-school program for 8 months. Heart rate monitors were worn daily in the exercise program. Teachers were rotated between conditions to avoid bias, and behavior management strategies were similar between conditions. Dual-energy x-ray absorptiometry, treadmill tests (VO2 peak), Children's Depression Inventory (CDI), Pediatric Quality of Life Inventory (Peds QL), Pediatric Anger Expression Scale (PAES), and Self-Perception Profile for Children (Global Self-Worth) were completed at baseline and posttest. Intent-to-treat mixed models tested intervention effects. Attendance to control and exercise sessions was similar (64 ± 30 vs 59 ± 28%, p>.25). In the exercise condition, heart rates were 161 ± 7 bpm, indicating vigorous activity. The exercise group lost more fat and gained more fitness than controls (-1.8 vs -0.8%, 2.7 vs 1.3 ml/kg/min, both p=.04). There was a group by time by sex interaction on the CDI (p<.05) such that boys benefited from the sedentary intervention (-3.1 vs 0.5 in exercise, p=.03), while girls showed a nonsignificant benefit from exercise (-2.0 vs -0.4 in control). There was a group by time by sex interaction (p < .05) on the Anger Control scale of the PAES, such that males assigned to exercise reduced their anger control (-1.1 vs 0.6 in control condition, p<.01), with no changes in the girls (-0.5, 0.1 respectively). A group by time by sex interaction (p < .05) on Anger Expression showed changes in opposite directions in boys (-0.1, 0.1) and girls (0.1, -0.1) in control and exercise groups, respectively but with no significant pairwise post-hoc comparisons. No group by time or sex by group by time interaction was detected for Anger Out, Global Self- Worth or PedsQL scale. Exercise did not affect self-worth or quality of life. Sedentary programs providing engaging games and artistic activities and interaction with adults and peers may be more beneficial to boys' mood than comparable exercise programs, perhaps because these are activities boys typically have less exposure to, with more social interaction than exercise. Reduced anger control might be an unwanted side effect of exercise intervention in boys, even with behavioral structure.",Child;Anger;Only Child;Quality of Life;dual energy X ray absorptiometry;side effect;risk;exposure;fitness;teacher;post hoc analysis;monitor;social interaction;model;treadmill test;behavior disorder;depression inventory;self concept;aerobic exercise;intention to treat analysis;heart rate;adult;girl;female;boy;male;exercise;society;psychosomatics;human;child;obesity;quality of life;mood;school,"C.L., Davis and C., Williams and E.E., Bustamante and J.L., Waller",2014.0,0,41
42,Feasibility study of a randomised controlled trial to investigate the effectiveness of using a humanoid robot to improve the social skills of children with autism spectrum disorder (Kaspar RCT): A study protocol,"Introduction: Interventions using robot-assisted therapy may be beneficial for the social skills development of children with autism spectrum disorder (ASD); however, randomised controlled trials (RCTs) are lacking. The present research aims to assess the feasibility of conducting an RCT evaluating the effectiveness of a social skills intervention using Kinesics and Synchronisation in Personal Assistant Robotics (Kaspar) with children with ASD. Methods and analysis: Forty children will be recruited. Inclusion criteria are the following: aged 5-10 years, confirmed ASD diagnosis, IQ over 70, English-language comprehension, a carer who can complete questionnaires in English and no current participation in a private social communication intervention. Children will be randomised to receive an intervention with a therapist and Kaspar, or with the therapist only. They will receive two familiarisation sessions and six treatment sessions for 8 weeks. They will be assessed at baseline, and at 10 and 22 weeks after baseline. The primary outcome of this study is to evaluate whether the predetermined feasibility criteria for a full-scale trial are met. The potential primary outcome measures for a full-scale trial are the Social Communication Questionnaire and the Social Skills Improvement System. We will conduct a preliminary economic analysis. After the study has ended, a sample of 20 participants and their families will be invited to participate in semistructured interviews to explore the feasibility and acceptability of the study's methods and intervention. Ethics and dissemination: Parents/carers will provide informed consent, and children will give assent, where appropriate. Care will be taken to avoid pressure or coercion to participate. Aftercare is available from the recruiting NHS Trust, and a phased withdrawal protocol will be followed if children become excessively attached to the robot. The results of the study will be disseminated to academic audiences and non-academic stakeholders, for example, families of children with ASD, support groups, clinicians and charities.","Questionnaires;Child;Child Development Disorders, Pervasive;Autistic Disorder;Only Child;Feasibility Studies;Robotics;study design;social support;social competence;single blind procedure;semi structured interview;robotics;randomized controlled trial;questionnaire;quality of life;psychosocial care;program effectiveness;positive feedback;parallel design;major clinical study;intelligence quotient;human;good clinical practice;follow up;feasibility study;cost effectiveness analysis;controlled study;comprehension;communication disorder;clinical protocol;child;autism;article;ISRCTN14156001","S.E., Mengoni and K., Irvine and D., Thakur and G., Barton and K., Dautenhahn and K., Guldberg and B., Robins and D., Wellsted and S., Sharma",2017.0,0,42
43,Educational and behavioural problems in babies of 32-35 weeks gestation.,"To identify incidence of school and behaviour problems at age 7 years in children born between 32 and 35 weeks gestation, and investigate perinatal risk factors.
The study population consisted of all children born at 32-35 weeks gestation to mothers resident in Oxfordshire in 1990. General practitioners, parents, and teachers were asked about health, behaviour, and education by postal questionnaire. Teachers rated children on level of function in six areas using a five point scale. They also completed the Strengths and Difficulties behaviour questionnaire. Perinatal risk factors were identified for children with poor school performance using a univariate and multivariate analysis.
Teacher responses were obtained for 117 (66%) of the 176 children in the cohort. Twenty nine (25%) required support from a non-teaching assistant, five (4%) had required a statement of special educational needs, and three (3%) were at special school. Poor outcome was reported for 32% in writing, 31% in fine motor skills, 29% in mathematics, 19% in speaking, 21% in reading, and 12% in physical education. On the behaviour questionnaire, 19% of the cohort achieved an abnormal hyperactivity score (population norm 10%). Multivariate analysis showed perinatal variables that remained significant, independent of other variables; they were discharge from the special care baby unit > 36 weeks postconceptional age (odds ratio 4.15; 95% confidence interval 1.43 to 12.05) and male sex (odds ratio 3.88; 95% confidence interval 1.42 to 10.6).
Up to a third of children born between 32 and 35 weeks gestation may have school problems. As there are larger numbers in this gestational category compared with smaller babies, this finding has implications for educational services.","Only Child;Questionnaires;Survivors;Socioeconomic Factors;Sex Factors;Risk Factors;Respiration Disorders;Pregnancy;Pre-Eclampsia;Needs Assessment;Multivariate Analysis;Mothers;Male;Logistic Models;Length of Stay;Intensive Care, Neonatal;Infant, Premature;Infant, Newborn;Humans;Female;Educational Status;Developmental Disabilities;Delivery, Obstetric;Cohort Studies;Child Behavior;Child;Case-Control Studies;Adult","Huddy, C L and Johnson, A and Hope, P L",2001.0,0,43
