Key,title,abstract,keywords,authors,year,doi,Included,ID
11,OTO-201 for the Treatment of Acute Otitis Externa: Results from a Phase 3 Randomized Clinical Study,"Objectives: OTO-201 is a ciprofloxacin otic suspension previously approved by the US Food and Drug Administration to treat children with bilateral otitis media with effusion requiring tympanostomy tube placement. In this phase 3, double-blind, randomized, prospective, sham-controlled, multicenter study, a single dose of OTO-201 was administered to the external auditory canal in subjects with unilateral or bilateral acute otitis externa. Methods: Two hundred sixty-two subjects, 3 to 83 years of age, were randomized, and 260 subjects were included in the intent-to-treat analysis population: OTO-201 (0.2 mL, 12 mg, n = 130) or sham (air injection, n = 130). The primary efficacy measure was clinical cure (CC) on day 8, judged by blinded assessor for erythema, edema, otorrhea, and tenderness. Subjects were monitored over 28 days for efficacy and safety. Results: OTO-201 demonstrated a significant increase in CC compared with sham at day 8 (69.2% vs 46.1%, P <.001). Higher CC was also noted on day 4 (P =.028), day 15 (P <.001), and day 29 (P <.001). A similar effect was observed in the pathogen-positive population. Single OTO-201 administration in the office setting was well tolerated by subjects. Conclusions: In this study in subjects with acute otitis externa, a single administration of 12 mg OTO-201 to the external auditory canal demonstrated a significantly higher proportion of subjects with CC and bacterial eradication compared with sham starting on day 4 and on all other observation days through day 29, with no safety or tolerability concerns identified. OTO-201 is the first agent in a randomized phase 3 study to demonstrate the efficacy and safety of a single-dose, health care professional–administered topical antibiotic for the treatment of acute otitis externa.",acute otitis externa; ciprofloxacin; clinical cure; OTO-201; otorrhea; single-dose antibiotic; thermoreversible; thermosensitive,"Ansley, John; Mair, Eric A.; Namini, Hamid; Lu, Chung H.; LeBel, Carl",2019,10.1177/0003489419830116,0,11
12,The persistent effect of race and the promise of alternatives to suspension in school discipline outcomes,"Demographic and student discipline data were used to examine the influence of multi-level risk and protective factors on exclusionary school discipline outcomes. Participants included all youth (n. = 87,997) in grades K to 12 who were enrolled in Denver Public Schools (n. = 183) in 2011-2012. The dataset included measures of risk and protective factors for exclusionary school discipline outcomes such as race, family poverty, special education status, emotional disability, participation in gifted and talented programs, homelessness, office referral reasons over the course of one school year, participation in in-school suspension, a behavior contract, or restorative approaches, and school composition. Multilevel logistic regression modeling was used to estimate students' likelihood of receiving one or more office disciplinary referrals, suspensions, expulsions, and/or law enforcement referrals. Findings indicate that student racial background and school racial composition are enduring risks across key decision points of the school discipline process. Conversely, participation in restorative interventions and in-school suspensions protects students from out-of-school suspensions. This study suggests that ongoing attention to issues of racial inequity in school discipline outcomes is warranted, and that restorative practices have potential as an inclusive strategy to improve school discipline outcomes without excluding students from the classroom. © 2014 Elsevier Ltd.",Alternatives to suspension; Racial disparity; Restorative approaches; School discipline outcomes,"Anyon, Yolanda; Jenson, Jeffrey M.; Altschul, Inna; Farrar, Jordan; McQueen, Jeanette; Greer, Eldridge; Downing, Barbara; Simmons, John",2014,10.1016/j.childyouth.2014.06.025,1,12
13,Acceptability and Feasibility of Using Raltegravir Oral Granules for the Treatment of Neonates in a Low-resource Setting,"BACKGROUND: Raltegravir granules for oral suspension, now recommended by World Health Organization for use in neonates with HIV infection, may be challenging for caregivers because of the multistep preparation required. METHODS: We evaluated the acceptability and feasibility of preparing granules for oral suspension in a low-to-middle-income country setting. Thirty-four caregivers and 10 health-care workers were enrolled from an HIV clinic in Durban, South Africa. Health-care workers were provided with pictorial instruction booklet, demonstration kit and guidance on preparation of granules for oral suspension. The health-care workers then trained caregivers on the preparation of granules for oral suspension. Caregivers were evaluated during the preparation process and instructed to practice at home with a sample kit and return to the clinic for repeat evaluation 5-7 days later. Caregivers and health-care workers were interviewed and participated in a focus group discussion regarding their experiences. RESULTS: The median age of the caregivers was 31 years (interquartile range: 9.7); 70% had received secondary-level education, 37% were employed. The median preparation time was 7.95 minutes (interquartile range: 5.08 minutes) and 7.48 minutes (3.55 minutes) at initial and repeated observation, respectively. Major errors were insufficient mixing time and incorrect suspension volume. The average number of errors between the 2 observation time points was significantly reduced at the repeat session (2.5 vs. 0.87, P = 0.023). Most participants found the preparation difficult at first but gained confidence over time. CONCLUSION: Despite the complexity involved in the preparation of the granules for oral suspension, with practice, this formulation was found to be acceptable and feasible to majority of participants in this low-resource setting. As a result, this formulation was included in the 2018 World Health Organization recommendations for first line in neonates living with HIV.",,"Archary, Moherndran; Zanoni, Brian; Lallemant, Marc; Suwannaprom, Puckwipa; Clarke, Diana; Penazzato, Martina",2020,10.1097/INF.0000000000002539,0,13
14,"Biannual mass azithromycin distributions and malaria parasitemia in pre-school children in Niger: A cluster-randomized, placebo-controlled trial","Background Mass azithromycin distributions have been shown to reduce mortality in preschool children, although the factors mediating this mortality reduction are not clear. This study was performed to determine whether mass distribution of azithromycin, which has modest antima-larial activity, reduces the community burden of malaria. Methods and findings In a cluster-randomized trial conducted from 23 November 2014 until 31 July 2017, 30 rural communities in Niger were randomized to 2 years of biannual mass distributions of either azithromycin (20 mg/kg oral suspension) or placebo to children aged 1 to 59 months. Participants, field staff, and investigators were masked to treatment allocation. The primary malaria outcome was the community prevalence of parasitemia on thick blood smear, assessed in a random sample of children from each community at study visits 12 and 24 months after randomization. Analyses were performed in an intention-to-treat fashion. At the baseline visit, a total of 1,695 children were enumerated in the 15 azithromycin communities, and 3,029 children were enumerated in the 15 placebo communities. No communities were lost to follow-up. The mean prevalence of malaria parasitemia at baseline was 8.9% (95% CI 5.1%–15.7%; 52 of 552 children across all communities) in the azithromycin-treated group and 6.7% (95% CI 4.0%–12.6%; 36 of 542 children across all communities) inthe placebo-treated group. In the prespecified primary analysis, parasitemia was lower in the azithromycin-treated group at month 12 (mean prevalence 8.8%, 95% CI 5.1%–14.3%; 51 of 551 children across all communities) and month 24 (mean 3.5%, 95% CI 1.9%–5.5%; 21 of 567 children across all communities) than it was in the placebo-treated group at month 12 (mean 15.3%, 95% CI 10.8%–20.6%; 81 of 548 children across all communities) and month 24 (mean 4.8%, 95% CI 3.3%–6.4%; 28 of 592 children across all communities) (P = 0.02). Communities treated with azithromycin had approximately half the odds of parasitemia compared to those treated with placebo (odds ratio [OR] 0.54, 95% CI 0.30 to 0.97). Parasite density was lower in the azithromycin group than the placebo group at 12 and 24 months (square root–transformed outcome; density estimates were 7,540 parasites/μl lower [95% CI −350 to −12,550 parasites/μl; P = 0.02] at a mean parasite density of 17,000, as was observed in the placebo arm). No significant difference in hemoglobin was observed between the 2 treatment groups at 12 and 24 months (mean 0.34 g/dL higher in the azithromycin arm, 95% CI −0.06 to 0.75 g/dL; P = 0.10). No serious adverse events were reported in either group, and among children aged 1 to 5 months, the most commonly reported non-serious adverse events (i.e., diarrhea, vomiting, and rash) were less common in the azithromycin-treated communities. Limitations of the trial include the timing of the treatments and monitoring visits, both of which took place before the peak malaria season, as well as the uncertain generalizability to areas with different malaria transmission dynamics. Conclusions Mass azithromycin distributions were associated with a reduced prevalence of malaria parasitemia in this trial, suggesting one possible mechanism for the mortality benefit observed with this intervention.",,"Arzika, Ahmed M.; Maliki, Ramatou; Boubacar, Nameywa; Kane, Salissou; Cotter, Sun Y.; Lebas, Elodie; Cook, Catherine; Bailey, Robin L.; West, Sheila K.; Rosenthal, Philip J.; Porco, Travis C.; Lietman, Thomas M.; Keenan, Jeremy D.",2019,10.1371/journal.pmed.1002835,0,14
15,"Suspensions and detentions in an urban, low-income school: Punishment or reward?","Disciplinary records for 3rd through 8th grade students (n = 314) in an inner-city, public school were examined for one school year to assess students' variation in response to discipline. Rates of disciplinary referrals were compared for students who received no detentions or suspensions throughout the year (""never group"" n = 117), students who received one or more detention or suspension in the fall but not in the spring (""fall group"" n = 62), and students who received one or more detention or suspension in the fall and one or more detention or suspension in the spring (""fall + spring group"" n = 75). Results indicated that during the fall, the ""fall group"" had nearly equivalent rates of referrals to the ""fall + spring group""; however, the ""fall group"" exhibited significantly lower rates of referrals during winter and spring that were nearly equivalent to the ""never group,"" as would be expected for a punishment procedure. In contrast, the ""fall + spring group"" evidenced increases in referrals across the year, suggesting the possibility that detentions and suspensions were functioning as rewards for this group. The ""fall + spring group"" was rated by teachers and peers at mid-year as highly aggressive, lacking social skills, and high on hyperactivity, whereas the ""fall group"" and the ""never group"" were statistically equivalent on teacher and peer ratings. Implications for mental health programs for urban schools are discussed, especially the need for alternatives to detention and suspension for the subset of students who account for the majority of school discipline.",Punishment; School discipline; School violence; Urban schools,"Atkins, Marc S.; McKay, Mary M.; Frazier, Stacy L.; Jakobsons, Lara J.; Arvanitis, Patrice; Cunningham, Tim; Brown, Catherine; Lambrecht, Linda",2002-01,10.1023/A:1015765924135,0,15
16,Does head start yield long-term benefits?,"Using a new data set, the National Longitudinal Survey of Youth 1997 (NLSY97), this paper examines the relationships between Head Start and school suspensions, grade retentions, and scores on math achievement tests. The body of previous work that has studied the effects of Head Start on child outcomes has examined relatively young children or small samples from compensatory preschool programs other than Head Start. Using the NLSY97 helps to remedy some of the data issues because it is a large nationally representative data set and contains outcomes up to the teenage years. The estimates indicate that Head Start participation does not have long-term benefits. This finding is compatible with past work showing that compensatory preschool programs that are long in duration and intensive are more likely to improve participants' outcomes.",,"Aughinbaugh, A.",2001,10.2307/3069637,1,16
17,Double rhomboid suture technique for congenital ptosis,"Purpose: Congenital ptosis is a troubling eye condition for pediatric ophthalmologists. There are many considerations to contemplate when deciding when to operate and which technique to use. Methods: A retrospective chart review of 69 pediatric patients treated for congenital ptosis using a double rhomboid frontalis sling with a nylon suture at a single tertiary care center. Results: For patients with more than 6 months of followup, there were 38 patients with 46 primary surgeries (22 [58%] males and 16 [42%] females). The average age at the first surgery was 39.34 ± 33.18 months. There was a mean follow-up time of 51.87 ± 53.79 months. There were 7 children who needed one revision and 1 child who needed a second revision, equaling a 23.9% rate of revision. Patients who had surgery before the age of 3 years had a statistically significant likelihood of needing a second surgery (chi-square test = 7.246, P = .007, 95% confidence interval = 0.027 to 0.687). It was also statistically significant (P < .05) that, throughout childhood, older patients were less likely to need a revision. Conclusions: A double rhomboid frontalis sling using a nylon suture is an effective technique to treat congenital ptosis. This technique is easy to master and has a low cost compared to techniques involving autografts and allografts. It is also important to advise the family of the likelihood of a second surgery if there is a need to operate at a young age.",,"Bach, Austin; Sanchez-Gonzalez, Marcos; Warman, Roberto",2018,10.3928/01913913-20171101-01,0,17
18,Episodic use of an inhaled corticosteroid or leukotriene receptor antagonist in preschool children with moderate-to-severe intermittent wheezing,"Background: Acute wheezing illnesses in preschoolers require better management strategies to reduce morbidity. Objectives: We sought to examine the effectiveness of episodic use of an inhaled corticosteroid and a leukotriene receptor antagonist in preschoolers with intermittent wheezing. Methods: In a randomized, double-blind, placebo-controlled 12-month trial, 238 children aged 12 to 59 months with moderate-to-severe intermittent wheezing received 7 days of either budesonide inhalation suspension (1 mg twice daily), montelukast (4 mg daily), or placebo in addition to albuterol with each identified respiratory tract illness (RTI). Proportion of episode-free days (EFDs) during the 12-month trial was the primary outcome. Results: The 3 treatment groups did not differ in proportions of EFDs, with adjusted mean EFDs of 76% (95% CI, 70% to 81%) for budesonide, 73% (95% CI, 66% to 79%) for montelukast, and 74% (95% CI, 65% to 81%) for conventional therapy (P = .66). The 3 groups did not differ in oral corticosteroid use, health care use, quality of life, or linear growth. However, during RTIs, budesonide and montelukast therapy led to modest reductions in trouble breathing (38% [P = .003] and 37% [P = .003], respectively) and interference with activity scores (32% [P = .01] and 40% [P = .001], respectively) that were most evident in those with positive asthma predictive indices. Conclusions: In preschool children with moderate-to-severe intermittent wheezing, episodic use of either budesonide or montelukast early in RTIs, when added to albuterol, did not increase the proportion of EFDs or decrease oral corticosteroid use over a 12-month period. However, indicators of severity of acute illnesses were reduced, particularly in children with positive asthma predictive indices. © 2008 American Academy of Allergy, Asthma & Immunology.",budesonide; montelukast; preschool children; Wheezing,"Bacharier, Leonard B.; Phillips, Brenda R.; Zeiger, Robert S.; Szefler, Stanley J.; Martinez, Fernando D.; Lemanske, Robert F.; Sorkness, Christine A.; Bloomberg, Gordon R.; Morgan, Wayne J.; Paul, Ian M.; Guilbert, Theresa; Krawiec, Marzena; Covar, Ronina; Larsen, Gary; Mellon, Michael; Moss, Mark H.; Chinchilli, Vernon M.; Taussig, Lynn M.; Strunk, Robert C.",2008,10.1016/j.jaci.2008.09.029,0,18
19,The billion dollar costs of troubled youth: Prospects for cost-effective prevention and treatment,"A follow-up study of 227 youth (to mean age 19.5) excluded from school and transferred into special behavioural units found that 63% had criminal convictions after leaving formal schooling, at age 16. Thirty percent had been convicted of “violence against the person”, and 31% had served or were serving prison terms. Twenty six percent had been convicted of 10 or more crimes. The costs (conservatively estimated) of servicing this cohort since the age of 12 (including child care and school exclusion costs) were at the very minimum US$45,472 per individual. Generalising these figures to the national estimates of at least 15,000 youth formally excluded from school in England and Wales, and transferred to special behavioural units, indicates a cost to the public purse of at least US$682 millions by the time these youth are 19.5 years. Lifetime costs are likely to be very much higher, amounting to several billion dollars. It is argued that spending a fraction of this money on preventive and supportive social and educational services in the school years would be highly cost effective. More research into why some individuals do not enter the cycle of criminality is also urgently required. © Taylor & Francis Group, LLC.",,"Bagley, Christopher; Pritchard, Colin",1998,10.1080/02673843.1998.9747825,0,19
20,The reduction of problem behaviours and school exclusion in at-risk youth: an experimental study of school social work with cost?benefit analyses,"A three-year experimental programme of school social work involving 2.5 workers was introduced into a primary school and a linked secondary school serving deprived council estates with high rates of unemployment, poverty and crime and high rates of exclusions from school. In comparison with two similar schools which acted as controls, the experiment was reflected in a stat-istically significant reduction in rates of self-reported theft, truancy, bullying, hard-drug use and net exclusions. Analysis of reduction in school exclusions showed that the experiment was highly cost-effective. Qualitative evaluations supported findings from stat-istical comparisons, suggesting that school social work can be effective in both preventing children coming into care and im-proving school climate and teacher morale.",,Bagley; Pritchard,1998,10.1046/j.1365-2206.1998.00101.x,0,20
